"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 00:00","2019","07","01","00:00","12,8","","5,0","","59","","16","","13","","","M","102,02","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 01:00","2019","07","01","01:00","12,5","","4,4","","57","","16","","17","","","M","101,96","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 02:00","2019","07","01","02:00","12,0","","4,1","","58","","16","","17","","","M","101,91","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 03:00","2019","07","01","03:00","11,9","","6,5","","70","","15","","17","","","M","101,86","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 04:00","2019","07","01","04:00","12,0","","7,1","","72","","16","","22","","","M","101,82","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 05:00","2019","07","01","05:00","12,2","","7,2","","71","","16","","15","","","M","101,78","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 06:00","2019","07","01","06:00","12,1","","7,8","","75","","17","","15","","","M","101,78","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 07:00","2019","07","01","07:00","12,2","","7,9","","74","","16","","24","","","M","101,77","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 08:00","2019","07","01","08:00","10,9","","8,7","","86","","16","","15","","","M","101,79","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 09:00","2019","07","01","09:00","10,1","","8,9","","92","","17","","18","","","M","101,78","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 10:00","2019","07","01","10:00","9,9","","8,8","","93","","16","","16","","","M","101,80","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 11:00","2019","07","01","11:00","10,2","","9,3","","95","","16","","13","","","M","101,76","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 12:00","2019","07","01","12:00","10,4","","9,7","","95","","17","","11","","","M","101,80","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 13:00","2019","07","01","13:00","10,8","","10,2","","96","","16","","6","","","M","101,83","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 14:00","2019","07","01","14:00","11,4","","10,8","","96","","15","","5","","","M","101,86","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 15:00","2019","07","01","15:00","12,7","","11,7","","94","","34","","5","","","M","101,91","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 16:00","2019","07","01","16:00","13,8","","12,0","","89","","34","","13","","","M","101,92","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 17:00","2019","07","01","17:00","13,5","","11,8","","89","","35","","10","","","M","101,95","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 18:00","2019","07","01","18:00","13,4","","11,5","","88","","33","","10","","","M","101,98","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 19:00","2019","07","01","19:00","13,1","","10,0","","81","","33","","11","","","M","102,02","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 20:00","2019","07","01","20:00","12,2","","8,4","","77","","33","","23","","","M","102,05","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 21:00","2019","07","01","21:00","11,7","","8,6","","81","","32","","15","","","M","102,12","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 22:00","2019","07","01","22:00","11,1","","8,0","","81","","32","","23","","","M","102,18","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-01 23:00","2019","07","01","23:00","10,3","","7,6","","83","","31","","24","","","M","102,18","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 00:00","2019","07","02","00:00","10,2","","7,0","","80","","32","","24","","","M","102,17","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 01:00","2019","07","02","01:00","10,3","","7,3","","82","","33","","18","","","M","102,17","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 02:00","2019","07","02","02:00","10,3","","6,8","","78","","31","","14","","","M","102,19","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 03:00","2019","07","02","03:00","10,4","","6,6","","77","","31","","15","","","M","102,16","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 04:00","2019","07","02","04:00","10,6","","6,1","","74","","31","","13","","","M","102,17","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 05:00","2019","07","02","05:00","10,8","","6,3","","74","","31","","14","","","M","102,19","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-07-02 06:00","2019","07","02","06:00","11,1","","6,9","","76","","32","","14","","","M","102,19","","","","","","ND"
