"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 00:00","2019","05","01","00:00","1,1","","-2,8","","75","","28","","28","","","M","101,85","","","","","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 01:00","2019","05","01","01:00","0,0","","-2,9","","80","","29","","28","","","M","101,84","","","","-6","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 02:00","2019","05","01","02:00","-1,1","","-2,9","","87","","30","","28","","","M","101,81","","","","-8","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 03:00","2019","05","01","03:00","-0,7","","-2,0","","91","","31","","24","","","M","101,83","","","","-7","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 04:00","2019","05","01","04:00","-0,8","","-1,4","","96","","31","","18","","","M","101,85","","","","-6","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 05:00","2019","05","01","05:00","-1,1","","-1,4","","98","","31","","18","","","M","101,85","","","","-6","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 06:00","2019","05","01","06:00","-1,8","","-2,1","","98","","33","","13","","","M","101,86","","","","-6","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 07:00","2019","05","01","07:00","-2,0","","-2,3","","98","","31","","18","","","M","101,85","","","","-7","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 08:00","2019","05","01","08:00","-2,3","","-2,6","","97","","30","","22","","","M","101,84","","","","-8","","ND"
"-137,22","68,95","SHINGLE POINT A","2100950","2019-05-01 09:00","2019","05","01","09:00","-2,4","","-2,8","","97","","30","","22","","","M","101,84","","","","-9","","ND"
