"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 00:00","2019","05","01","00:00","-1,8","","-3,1","","91","","33","","22","","","M","102,09","","","","-8","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 01:00","2019","05","01","01:00","-1,6","","-2,2","","95","","34","","26","","","M","102,07","","","","-8","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 02:00","2019","05","01","02:00","-1,4","","-2,4","","93","","33","","26","","","M","102,09","","","","-8","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 03:00","2019","05","01","03:00","-1,6","","-3,3","","89","","33","","21","","","M","102,09","","","","-7","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 04:00","2019","05","01","04:00","-1,9","","-3,2","","91","","33","","23","","","M","102,08","","","","-8","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 05:00","2019","05","01","05:00","-2,2","","-3,2","","93","","33","","25","","","M","102,06","","","","-9","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 06:00","2019","05","01","06:00","-2,6","","-4,2","","88","","34","","28","","","M","102,06","","","","-10","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 07:00","2019","05","01","07:00","-2,7","","-3,9","","91","","33","","26","","","M","102,07","","","","-10","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 08:00","2019","05","01","08:00","-3,2","","-4,3","","92","","34","","37","","","M","102,06","","","","-11","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 09:00","2019","05","01","09:00","-3,2","","-4,3","","92","","34","","32","","","M","102,11","","","","-11","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 10:00","2019","05","01","10:00","-3,0","","-4,0","","93","","34","","27","","","M","102,11","","","","-10","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 11:00","2019","05","01","11:00","-2,7","","-3,8","","92","","34","","31","","","M","102,13","","","","-10","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 12:00","2019","05","01","12:00","-2,6","","-3,9","","91","","3","","22","","","M","102,17","","","","-9","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 13:00","2019","05","01","13:00","-3,3","","-5,4","","86","","6","","24","","","M","102,26","","","","-10","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 14:00","2019","05","01","14:00","-5,0","","-7,1","","85","","6","","35","","","M","102,39","","","","-14","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 15:00","2019","05","01","15:00","-6,4","","-8,8","","83","","6","","29","","","M","102,44","","","","-15","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 16:00","2019","05","01","16:00","-7,8","","-10,8","","79","","7","","32","","","M","102,50","","","","-17","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 17:00","2019","05","01","17:00","-8,7","","-11,3","","82","","5","","36","","","M","102,59","","","","-19","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 18:00","2019","05","01","18:00","-9,5","","-12,7","","78","","6","","33","","","M","102,66","","","","-19","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 19:00","2019","05","01","19:00","-10,4","","-13,4","","79","","5","","27","","","M","102,75","","","","-20","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 20:00","2019","05","01","20:00","-10,7","","-13,4","","81","","6","","31","","","M","102,77","","","","-21","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 21:00","2019","05","01","21:00","-11,7","","-14,1","","83","","5","","33","","","M","102,80","","","","-22","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 22:00","2019","05","01","22:00","-12,6","","-15,0","","83","","6","","32","","","M","102,85","","","","-23","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-01 23:00","2019","05","01","23:00","-13,9","","-16,2","","83","","6","","31","","","M","102,90","","","","-25","","ND"
"-133,03","69,43","TUKTOYAKTUK A","2203911","2019-05-02 00:00","2019","05","02","00:00","-14,5","","-16,8","","83","","7","","26","","","M","102,97","","","","-25","","ND"
