"Time_ms"	"DateTime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:03.000"	0.0212	15.6434	0	FALSE
130	"2000-01-01 00:00:03.125"	0.0206	15.6445	0	FALSE
260	"2000-01-01 00:00:03.250"	0.021	15.6472	0	FALSE
390	"2000-01-01 00:00:03.375"	0.0204	15.6523	0.0081	FALSE
520	"2000-01-01 00:00:03.500"	0.0202	15.6507	0	FALSE
650	"2000-01-01 00:00:03.625"	0.0209	15.6491	0	FALSE
780	"2000-01-01 00:00:03.750"	0.0219	15.6499	0	FALSE
910	"2000-01-01 00:00:03.875"	0.0214	15.6503	0	FALSE
1040	"2000-01-01 00:00:04.000"	0.0212	15.6502	0	FALSE
1170	"2000-01-01 00:00:04.125"	0.0216	15.6501	0	FALSE
1300	"2000-01-01 00:00:04.250"	0.0225	15.6476	0	FALSE
1430	"2000-01-01 00:00:04.375"	0.0218	15.6434	0	FALSE
1560	"2000-01-01 00:00:04.500"	0.0222	15.638	0	FALSE
1690	"2000-01-01 00:00:04.625"	0.0216	15.6273	0.0081	FALSE
1820	"2000-01-01 00:00:04.750"	0.0226	15.6163	0	FALSE
1950	"2000-01-01 00:00:04.875"	0.0226	15.6115	0	FALSE
2080	"2000-01-01 00:00:05.000"	0.0228	15.6126	0	FALSE
2210	"2000-01-01 00:00:05.125"	0.0227	15.6113	0	FALSE
2340	"2000-01-01 00:00:05.250"	0.0231	15.6112	0	FALSE
2340	"2000-01-01 00:00:05.375"	0.0234	15.614	0	FALSE
2470	"2000-01-01 00:00:05.500"	0.0229	15.6144	0	FALSE
2600	"2000-01-01 00:00:05.625"	0.023	15.6143	0	FALSE
2730	"2000-01-01 00:00:05.750"	0.0233	15.6151	0	FALSE
2860	"2000-01-01 00:00:05.875"	0.024	15.6127	0	FALSE
2990	"2000-01-01 00:00:06.000"	0.0243	15.611	0.008	FALSE
3120	"2000-01-01 00:00:06.125"	0.025	15.6087	0	FALSE
3250	"2000-01-01 00:00:06.250"	0.0244	15.6031	0	FALSE
3380	"2000-01-01 00:00:06.375"	0.024	15.5953	0	FALSE
3510	"2000-01-01 00:00:06.500"	0.0246	15.5887	0	FALSE
3640	"2000-01-01 00:00:06.625"	0.0252	15.5872	0	FALSE
3770	"2000-01-01 00:00:06.750"	0.0246	15.5887	0	FALSE
3900	"2000-01-01 00:00:06.875"	0.0248	15.5925	0	FALSE
4030	"2000-01-01 00:00:07.000"	0.0246	15.5905	0.008	FALSE
4160	"2000-01-01 00:00:07.125"	0.0255	15.5885	0	FALSE
4290	"2000-01-01 00:00:07.250"	0.0257	15.5907	0	FALSE
4420	"2000-01-01 00:00:07.375"	0.0256	15.5936	0	FALSE
4550	"2000-01-01 00:00:07.500"	0.0257	15.6044	0	FALSE
4680	"2000-01-01 00:00:07.625"	0.0253	15.6077	0	FALSE
4810	"2000-01-01 00:00:07.750"	0.0256	15.603	0	FALSE
4940	"2000-01-01 00:00:07.875"	0.0265	15.5982	0.0081	FALSE
5070	"2000-01-01 00:00:08.000"	0.0258	15.5921	0	FALSE
5200	"2000-01-01 00:00:08.125"	0.0254	15.5933	0	FALSE
5330	"2000-01-01 00:00:08.250"	0.0252	15.5919	0	FALSE
5460	"2000-01-01 00:00:08.375"	0.0253	15.5899	0.008	FALSE
5590	"2000-01-01 00:00:08.500"	0.0252	15.587	0.008	FALSE
5590	"2000-01-01 00:00:08.625"	0.0269	15.5788	0	FALSE
5720	"2000-01-01 00:00:08.750"	0.0258	15.5773	0	FALSE
5850	"2000-01-01 00:00:08.875"	0.0259	15.5766	0	FALSE
5980	"2000-01-01 00:00:09.000"	0.0261	15.5736	0.008	FALSE
6110	"2000-01-01 00:00:09.125"	0.0269	15.5725	0	FALSE
6370	"2000-01-01 00:00:09.250"	0.0272	15.5671	0	FALSE
6370	"2000-01-01 00:00:09.375"	0.0281	15.5556	0	FALSE
6500	"2000-01-01 00:00:09.500"	0.0282	15.5513	0	FALSE
6630	"2000-01-01 00:00:09.625"	0.0274	15.5437	0.008	FALSE
6760	"2000-01-01 00:00:09.750"	0.0273	15.5389	0	FALSE
6890	"2000-01-01 00:00:09.875"	0.0277	15.5396	0	FALSE
7020	"2000-01-01 00:00:10.000"	0.0284	15.5409	0	FALSE
7150	"2000-01-01 00:00:10.125"	0.0282	15.5449	0	FALSE
7280	"2000-01-01 00:00:10.250"	0.0276	15.5458	0	FALSE
7410	"2000-01-01 00:00:10.375"	0.0276	15.5463	0	FALSE
7540	"2000-01-01 00:00:10.500"	0.028	15.5472	0	FALSE
7670	"2000-01-01 00:00:10.625"	0.0282	15.5488	0	FALSE
7800	"2000-01-01 00:00:10.750"	0.0279	15.5518	0	FALSE
7930	"2000-01-01 00:00:10.875"	0.0282	15.5499	0	FALSE
8060	"2000-01-01 00:00:11.000"	0.0285	15.5495	0	FALSE
8190	"2000-01-01 00:00:11.125"	0.028	15.5502	0	FALSE
8320	"2000-01-01 00:00:11.250"	0.0288	15.5473	0	FALSE
8450	"2000-01-01 00:00:11.375"	0.0295	15.5556	0	FALSE
8580	"2000-01-01 00:00:11.500"	0.0294	15.558	0	FALSE
8710	"2000-01-01 00:00:11.625"	0.0291	15.5584	0	FALSE
8840	"2000-01-01 00:00:11.750"	0.0282	15.56	0	FALSE
8970	"2000-01-01 00:00:11.875"	0.0287	15.5602	0	FALSE
9100	"2000-01-01 00:00:12.000"	0.0287	15.5593	0	FALSE
9100	"2000-01-01 00:00:12.125"	0.0293	15.5558	0	FALSE
9230	"2000-01-01 00:00:12.250"	0.0286	15.5547	0	FALSE
9360	"2000-01-01 00:00:12.375"	0.0288	15.5494	0	FALSE
9490	"2000-01-01 00:00:12.500"	0.0293	15.5441	0.008	FALSE
