"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:01:14.250"	0.2361	12.5277	0.1317	FALSE
130	"2000-01-01 00:01:14.375"	0.2448	12.5292	0.1314	FALSE
260	"2000-01-01 00:01:14.500"	0.2533	12.5238	0.1317	FALSE
390	"2000-01-01 00:01:14.625"	0.2573	12.5186	0.132	FALSE
520	"2000-01-01 00:01:14.750"	0.2569	12.5162	0.1311	FALSE
650	"2000-01-01 00:01:14.875"	0.2513	12.5183	0.1319	FALSE
780	"2000-01-01 00:01:15.000"	0.2432	12.5224	0.1312	FALSE
910	"2000-01-01 00:01:15.125"	0.2342	12.5143	0.1318	FALSE
1040	"2000-01-01 00:01:15.250"	0.2291	12.5064	0.1313	FALSE
1170	"2000-01-01 00:01:15.375"	0.2293	12.5007	0.1319	FALSE
1300	"2000-01-01 00:01:15.500"	0.2317	12.5047	0.1312	FALSE
1430	"2000-01-01 00:01:15.625"	0.2361	12.5032	0.1326	FALSE
1560	"2000-01-01 00:01:15.750"	0.2408	12.5032	0.1315	FALSE
1690	"2000-01-01 00:01:15.875"	0.2444	12.5047	0.1318	FALSE
1820	"2000-01-01 00:01:16.000"	0.2476	12.5051	0.1317	FALSE
1950	"2000-01-01 00:01:16.125"	0.2471	12.5077	0.1317	FALSE
2080	"2000-01-01 00:01:16.250"	0.2432	12.5084	0.1313	FALSE
2210	"2000-01-01 00:01:16.375"	0.2372	12.5098	0.1314	FALSE
2340	"2000-01-01 00:01:16.500"	0.2322	12.5093	0.1315	FALSE
2470	"2000-01-01 00:01:16.625"	0.2316	12.5053	0.1319	FALSE
2600	"2000-01-01 00:01:16.750"	0.2363	12.5066	0.1318	FALSE
2730	"2000-01-01 00:01:16.875"	0.241	12.5088	0.1323	FALSE
2860	"2000-01-01 00:01:17.000"	0.2455	12.5086	0.1315	FALSE
2990	"2000-01-01 00:01:17.125"	0.2472	12.5055	0.1314	FALSE
2990	"2000-01-01 00:01:17.250"	0.2472	12.5067	0.1321	FALSE
3120	"2000-01-01 00:01:17.375"	0.2448	12.5051	0.1316	FALSE
3250	"2000-01-01 00:01:17.500"	0.2394	12.5035	0.1319	FALSE
3380	"2000-01-01 00:01:17.625"	0.2356	12.5029	0.1314	FALSE
3510	"2000-01-01 00:01:17.750"	0.2324	12.5038	0.1316	FALSE
3640	"2000-01-01 00:01:17.875"	0.2333	12.5026	0.1311	FALSE
3770	"2000-01-01 00:01:18.000"	0.2362	12.5036	0.1317	FALSE
3900	"2000-01-01 00:01:18.125"	0.2391	12.4998	0.1327	FALSE
4030	"2000-01-01 00:01:18.250"	0.2447	12.5016	0.1313	FALSE
4160	"2000-01-01 00:01:18.375"	0.2481	12.5012	0.1322	FALSE
4290	"2000-01-01 00:01:18.500"	0.2495	12.5008	0.1312	FALSE
4420	"2000-01-01 00:01:18.625"	0.2486	12.5015	0.1318	FALSE
4550	"2000-01-01 00:01:18.750"	0.244	12.5017	0.1305	FALSE
4680	"2000-01-01 00:01:18.875"	0.2381	12.4974	0.1323	FALSE
4810	"2000-01-01 00:01:19.000"	0.2322	12.496	0.1322	FALSE
4940	"2000-01-01 00:01:19.125"	0.2282	12.4966	0.132	TRUE
5070	"2000-01-01 00:01:19.250"	0.2287	12.5058	0.1314	TRUE
5200	"2000-01-01 00:01:19.375"	0.2336	12.507	0.131	TRUE
5330	"2000-01-01 00:01:19.500"	0.2425	12.5016	0.1315	TRUE
5460	"2000-01-01 00:01:19.625"	0.2508	12.5001	0.1315	TRUE
5590	"2000-01-01 00:01:19.750"	0.2562	12.5028	0.131	TRUE
5720	"2000-01-01 00:01:19.875"	0.2587	12.5003	0.1315	TRUE
5850	"2000-01-01 00:01:20.000"	0.2601	12.5041	0.1314	TRUE
5980	"2000-01-01 00:01:20.125"	0.2596	12.5051	0.1309	TRUE
6110	"2000-01-01 00:01:20.250"	0.2621	12.5074	0.1324	TRUE
6240	"2000-01-01 00:01:20.375"	0.2683	12.5041	0.1306	TRUE
6240	"2000-01-01 00:01:20.500"	0.2787	12.4952	0.1322	TRUE
6370	"2000-01-01 00:01:20.625"	0.2899	12.4927	0.1315	TRUE
6500	"2000-01-01 00:01:20.750"	0.2983	12.4998	0.1322	TRUE
6630	"2000-01-01 00:01:20.875"	0.3034	12.4901	0.1311	TRUE
6760	"2000-01-01 00:01:21.000"	0.3052	12.4892	0.132	TRUE
6890	"2000-01-01 00:01:21.125"	0.3065	12.4898	0.1311	TRUE
7020	"2000-01-01 00:01:21.250"	0.3068	12.4892	0.1317	TRUE
7150	"2000-01-01 00:01:21.375"	0.3097	12.4899	0.131	TRUE
7280	"2000-01-01 00:01:21.500"	0.3146	12.4919	0.1318	TRUE
7410	"2000-01-01 00:01:21.625"	0.3224	12.4938	0.1311	TRUE
7540	"2000-01-01 00:01:21.750"	0.3339	12.5003	0.1316	TRUE
7670	"2000-01-01 00:01:21.875"	0.345	12.4989	0.1307	TRUE
7800	"2000-01-01 00:01:22.000"	0.3532	12.5259	0.1308	TRUE
7930	"2000-01-01 00:01:22.125"	0.3591	12.5374	0.1311	TRUE
8060	"2000-01-01 00:01:22.250"	0.3632	12.5355	0.1319	TRUE
8190	"2000-01-01 00:01:22.375"	0.3657	12.5359	0.1325	TRUE
8320	"2000-01-01 00:01:22.500"	0.3697	12.5333	0.1316	TRUE
8450	"2000-01-01 00:01:22.625"	0.3718	12.5303	0.1311	TRUE
8580	"2000-01-01 00:01:22.750"	0.3761	12.531	0.1317	TRUE
8710	"2000-01-01 00:01:22.875"	0.3826	12.5264	0.1317	TRUE
8840	"2000-01-01 00:01:23.000"	0.3901	12.5223	0.1317	TRUE
8970	"2000-01-01 00:01:23.125"	0.4004	12.4896	0.1315	TRUE
9100	"2000-01-01 00:01:23.250"	0.4105	12.4686	0.1314	TRUE
9230	"2000-01-01 00:01:23.375"	0.4199	12.461	0.1322	TRUE
9360	"2000-01-01 00:01:23.500"	0.4278	12.4573	0.1322	TRUE
9490	"2000-01-01 00:01:23.625"	0.4364	12.4515	0.1322	TRUE
9490	"2000-01-01 00:01:23.750"	0.4397	12.4498	0.1313	TRUE
9620	"2000-01-01 00:01:23.875"	0.4449	12.4357	0.1319	TRUE
9750	"2000-01-01 00:01:24.000"	0.4493	12.4249	0.1308	TRUE
9880	"2000-01-01 00:01:24.125"	0.454	12.4308	0.1314	TRUE
10010	"2000-01-01 00:01:24.250"	0.4603	12.4339	0.1318	TRUE
10140	"2000-01-01 00:01:24.375"	0.4684	12.4336	0.1313	TRUE
10270	"2000-01-01 00:01:24.500"	0.4772	12.4314	0.1321	TRUE
10400	"2000-01-01 00:01:24.625"	0.4855	12.4258	0.1315	TRUE
10530	"2000-01-01 00:01:24.750"	0.4918	12.4308	0.1318	TRUE
10660	"2000-01-01 00:01:24.875"	0.498	12.4374	0.1307	TRUE
10790	"2000-01-01 00:01:25.000"	0.502	12.4371	0.131	TRUE
10920	"2000-01-01 00:01:25.125"	0.5085	12.4347	0.1316	TRUE
11050	"2000-01-01 00:01:25.250"	0.5137	12.4347	0.1315	TRUE
11180	"2000-01-01 00:01:25.375"	0.5215	12.4428	0.1322	TRUE
11310	"2000-01-01 00:01:25.500"	0.5306	12.4422	0.1314	TRUE
11440	"2000-01-01 00:01:25.625"	0.54	12.44	0.1315	TRUE
11570	"2000-01-01 00:01:25.750"	0.5479	12.4393	0.1323	TRUE
11700	"2000-01-01 00:01:25.875"	0.5535	12.4401	0.1325	TRUE
11830	"2000-01-01 00:01:26.000"	0.5578	12.4406	0.1315	TRUE
