"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:05.125"	-0.0564	10.7884	0.1294	FALSE
130	"2000-01-01 00:00:05.250"	-0.056	10.786	0.1197	FALSE
260	"2000-01-01 00:00:05.375"	-0.0558	10.7729	0.1323	FALSE
390	"2000-01-01 00:00:05.500"	-0.0564	10.7663	11.694	FALSE
390	"2000-01-01 00:00:05.625"	0.0197	10.7643	18.8701	FALSE
650	"2000-01-01 00:00:05.750"	0.0598	10.763	18.8791	FALSE
650	"2000-01-01 00:00:05.875"	0.0823	10.7584	18.8854	FALSE
780	"2000-01-01 00:00:06.000"	0.0775	10.7584	18.8859	FALSE
910	"2000-01-01 00:00:06.125"	0.043	10.7607	18.8836	FALSE
1040	"2000-01-01 00:00:06.250"	-0.027	10.7594	18.8782	FALSE
1170	"2000-01-01 00:00:06.375"	-0.0681	10.7627	18.6908	FALSE
1300	"2000-01-01 00:00:06.500"	-0.0539	10.7687	11.3428	FALSE
1430	"2000-01-01 00:00:06.625"	-0.0517	10.7714	0.9204	FALSE
1560	"2000-01-01 00:00:06.750"	-0.0513	10.7783	0.3699	FALSE
1690	"2000-01-01 00:00:06.875"	-0.0512	10.7915	0.3087	FALSE
1820	"2000-01-01 00:00:07.000"	-0.0514	10.8101	0.2761	FALSE
1950	"2000-01-01 00:00:07.125"	-0.0528	10.8283	0.2537	FALSE
2080	"2000-01-01 00:00:07.250"	-0.0527	10.8417	0.2165	FALSE
2210	"2000-01-01 00:00:07.375"	-0.054	10.8454	0.8265	FALSE
2340	"2000-01-01 00:00:07.500"	-0.0547	10.7656	18.5472	FALSE
2470	"2000-01-01 00:00:07.625"	-0.0119	10.7434	18.7787	FALSE
2600	"2000-01-01 00:00:07.750"	0.0278	10.7339	18.8894	FALSE
2730	"2000-01-01 00:00:07.875"	0.0674	10.724	18.8875	FALSE
2860	"2000-01-01 00:00:08.000"	0.087	10.7246	18.4702	FALSE
2990	"2000-01-01 00:00:08.125"	0.072	10.7266	18.5311	FALSE
3120	"2000-01-01 00:00:08.250"	0.0375	10.7314	18.6274	FALSE
3250	"2000-01-01 00:00:08.375"	-0.0121	10.7358	18.6644	FALSE
3380	"2000-01-01 00:00:08.500"	-0.0566	10.7357	18.4737	FALSE
3510	"2000-01-01 00:00:08.625"	-0.0524	10.7278	17.686	FALSE
3640	"2000-01-01 00:00:08.750"	-0.0512	10.7341	0.6264	FALSE
