"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:01:30.125"	2.9103	7.8137	24.416	FALSE
130	"2000-01-01 00:01:30.250"	2.9155	7.9802	24.3136	FALSE
260	"2000-01-01 00:01:30.375"	2.9232	7.9926	24.3354	FALSE
260	"2000-01-01 00:01:30.500"	2.9337	8.0089	24.3209	FALSE
390	"2000-01-01 00:01:30.625"	2.9508	7.9924	24.3115	FALSE
520	"2000-01-01 00:01:30.750"	2.9727	7.9633	24.3142	FALSE
650	"2000-01-01 00:01:30.875"	3.004	7.9052	24.3523	FALSE
780	"2000-01-01 00:01:31.000"	3.0379	7.8247	24.4164	FALSE
910	"2000-01-01 00:01:31.125"	3.072	7.7969	24.4481	FALSE
1040	"2000-01-01 00:01:31.250"	3.1051	7.7438	24.5097	FALSE
1170	"2000-01-01 00:01:31.375"	3.1308	7.7301	24.5206	FALSE
1300	"2000-01-01 00:01:31.500"	3.1586	7.681	24.6011	FALSE
1430	"2000-01-01 00:01:31.625"	3.1713	7.0739	25.3308	FALSE
1560	"2000-01-01 00:01:31.750"	3.1757	6.3181	25.9621	TRUE
1690	"2000-01-01 00:01:31.875"	3.1723	6.4966	25.8277	TRUE
1820	"2000-01-01 00:01:32.000"	3.1672	6.1616	26.6392	TRUE
1950	"2000-01-01 00:01:32.125"	3.1578	5.2303	27.843	TRUE
2080	"2000-01-01 00:01:32.250"	3.1402	4.6671	28.4222	TRUE
2210	"2000-01-01 00:01:32.375"	3.1234	4.5524	28.5707	TRUE
2340	"2000-01-01 00:01:32.500"	3.096	4.7515	28.2957	TRUE
2470	"2000-01-01 00:01:32.625"	3.0639	5.3091	27.3958	TRUE
2600	"2000-01-01 00:01:32.750"	3.032	6.3858	26.2729	TRUE
2730	"2000-01-01 00:01:32.875"	2.9943	6.9402	25.6484	TRUE
2860	"2000-01-01 00:01:33.000"	2.9584	7.3694	25.2015	TRUE
2990	"2000-01-01 00:01:33.125"	2.9273	7.5138	25.0559	TRUE
3120	"2000-01-01 00:01:33.250"	2.9002	7.6461	25.0127	TRUE
3250	"2000-01-01 00:01:33.375"	2.8848	7.5681	25.0705	TRUE
3380	"2000-01-01 00:01:33.500"	2.876	7.5982	24.9382	TRUE
3510	"2000-01-01 00:01:33.625"	2.8788	7.4897	24.9259	TRUE
3640	"2000-01-01 00:01:33.750"	2.8965	7.4675	24.9383	TRUE
3640	"2000-01-01 00:01:33.875"	2.9322	7.3287	25.097	TRUE
3770	"2000-01-01 00:01:34.000"	2.9706	7.3596	25.0559	TRUE
3900	"2000-01-01 00:01:34.125"	3.0136	7.4849	24.8424	TRUE
4030	"2000-01-01 00:01:34.250"	3.0741	7.679	24.6439	TRUE
4160	"2000-01-01 00:01:34.375"	3.1229	7.5936	24.7024	TRUE
4290	"2000-01-01 00:01:34.500"	3.1649	7.3301	24.9652	TRUE
4420	"2000-01-01 00:01:34.625"	3.2017	6.6666	25.6697	TRUE
4550	"2000-01-01 00:01:34.750"	3.2267	6.1371	26.241	TRUE
4680	"2000-01-01 00:01:34.875"	3.2468	4.9402	27.3203	TRUE
4810	"2000-01-01 00:01:35.000"	3.2474	4.5379	27.7967	TRUE
4940	"2000-01-01 00:01:35.125"	3.24	4.3468	28.5686	TRUE
5070	"2000-01-01 00:01:35.250"	3.2203	4.4661	29.0043	TRUE
5200	"2000-01-01 00:01:35.375"	3.1852	4.5211	29.0603	TRUE
5330	"2000-01-01 00:01:35.500"	3.1373	4.8741	28.297	TRUE
5460	"2000-01-01 00:01:35.625"	3.0837	6.1224	26.857	TRUE
5590	"2000-01-01 00:01:35.750"	3.0207	6.2033	26.4554	TRUE
5720	"2000-01-01 00:01:35.875"	2.9562	6.5565	26.1637	TRUE
5850	"2000-01-01 00:01:36.000"	2.9001	7.1937	25.5556	TRUE
5980	"2000-01-01 00:01:36.125"	2.8562	7.7481	25.0997	TRUE
6110	"2000-01-01 00:01:36.250"	2.8313	7.8873	24.7997	TRUE
6240	"2000-01-01 00:01:36.375"	2.8235	7.5975	24.8968	TRUE
6370	"2000-01-01 00:01:36.500"	2.8364	7.4255	24.9979	TRUE
6500	"2000-01-01 00:01:36.625"	2.8676	7.1904	25.3237	TRUE
6630	"2000-01-01 00:01:36.750"	2.9042	7.5359	24.751	TRUE
6760	"2000-01-01 00:01:36.875"	2.9505	7.7543	24.5255	TRUE
6890	"2000-01-01 00:01:37.000"	3.0055	7.7999	24.4576	TRUE
6890	"2000-01-01 00:01:37.125"	3.0525	7.7292	24.5189	TRUE
7020	"2000-01-01 00:01:37.250"	3.0834	7.6039	24.6133	TRUE
7150	"2000-01-01 00:01:37.375"	3.1267	7.3741	24.8177	TRUE
7280	"2000-01-01 00:01:37.500"	3.1479	6.7145	25.3667	TRUE
7410	"2000-01-01 00:01:37.625"	3.1629	5.8922	26.2034	TRUE
7540	"2000-01-01 00:01:37.750"	3.1611	5.3035	27.4355	TRUE
7670	"2000-01-01 00:01:37.875"	3.1451	5.035	27.6567	TRUE
7800	"2000-01-01 00:01:38.000"	3.1157	6.08	26.282	TRUE
7930	"2000-01-01 00:01:38.125"	3.0734	6.7735	25.5322	TRUE
8060	"2000-01-01 00:01:38.250"	3.0203	7.19	25.0671	TRUE
8190	"2000-01-01 00:01:38.375"	2.9621	7.5087	24.7627	TRUE
8320	"2000-01-01 00:01:38.500"	2.9028	7.596	24.6554	TRUE
8450	"2000-01-01 00:01:38.625"	2.8459	7.7488	24.526	TRUE
8580	"2000-01-01 00:01:38.750"	2.797	7.9104	24.4076	TRUE
8710	"2000-01-01 00:01:38.875"	2.7595	7.9523	24.3839	TRUE
8840	"2000-01-01 00:01:39.000"	2.7326	7.8126	24.4646	TRUE
8970	"2000-01-01 00:01:39.125"	2.7149	7.801	24.4633	TRUE
9100	"2000-01-01 00:01:39.250"	2.7129	7.8095	24.5941	TRUE
9230	"2000-01-01 00:01:39.375"	2.72	7.9081	24.5163	TRUE
9360	"2000-01-01 00:01:39.500"	2.7402	7.9787	24.418	TRUE
9490	"2000-01-01 00:01:39.625"	2.7622	7.9305	24.4152	TRUE
9620	"2000-01-01 00:01:39.750"	2.7873	8.0512	24.3061	TRUE
9750	"2000-01-01 00:01:39.875"	2.8312	8.0976	24.2421	TRUE
9880	"2000-01-01 00:01:40.000"	2.8724	8.1183	24.2004	TRUE
10010	"2000-01-01 00:01:40.125"	2.9217	8.0854	24.2009	TRUE
10010	"2000-01-01 00:01:40.250"	2.9749	8.0455	24.2235	TRUE
10140	"2000-01-01 00:01:40.375"	3.0127	7.9598	24.282	TRUE
10270	"2000-01-01 00:01:40.500"	3.0365	7.8176	24.3915	TRUE
10400	"2000-01-01 00:01:40.625"	3.0413	7.5762	24.6225	TRUE
10530	"2000-01-01 00:01:40.750"	3.0155	7.3569	24.7578	TRUE
10660	"2000-01-01 00:01:40.875"	2.9785	7.6761	24.4877	TRUE
10790	"2000-01-01 00:01:41.000"	2.9235	7.9563	24.2687	TRUE
10920	"2000-01-01 00:01:41.125"	2.8579	8.0832	24.1676	TRUE
11050	"2000-01-01 00:01:41.250"	2.7845	8.0827	24.1541	TRUE
11180	"2000-01-01 00:01:41.375"	2.715	8.1185	24.1259	TRUE
11310	"2000-01-01 00:01:41.500"	2.6463	8.211	24.0561	TRUE
11440	"2000-01-01 00:01:41.625"	2.5865	8.2605	24.0128	TRUE
11570	"2000-01-01 00:01:41.750"	2.5382	8.3267	23.9673	TRUE
11700	"2000-01-01 00:01:41.875"	2.5045	8.3191	23.9763	TRUE
11830	"2000-01-01 00:01:42.000"	2.4895	8.2923	24.0152	TRUE
11960	"2000-01-01 00:01:42.125"	2.5002	8.02	24.2541	TRUE
12090	"2000-01-01 00:01:42.250"	2.5208	8.0811	24.1711	TRUE
12220	"2000-01-01 00:01:42.375"	2.5587	8.2336	24.0483	TRUE
12350	"2000-01-01 00:01:42.500"	2.6034	8.2767	23.9968	TRUE
12480	"2000-01-01 00:01:42.625"	2.6638	8.2851	23.9938	TRUE
12610	"2000-01-01 00:01:42.750"	2.7241	8.2604	24.0227	TRUE
12740	"2000-01-01 00:01:42.875"	2.7809	8.2097	24.0694	TRUE
12870	"2000-01-01 00:01:43.000"	2.8191	8.1796	24.0975	TRUE
13000	"2000-01-01 00:01:43.125"	2.8479	8.1397	24.1239	TRUE
13130	"2000-01-01 00:01:43.250"	2.8551	8.1235	24.1419	TRUE
13260	"2000-01-01 00:01:43.375"	2.8379	8.125	24.1361	TRUE
13390	"2000-01-01 00:01:43.500"	2.8062	8.1204	24.1365	TRUE
13390	"2000-01-01 00:01:43.625"	2.7606	8.1537	24.0857	TRUE
13520	"2000-01-01 00:01:43.750"	2.692	8.2585	23.9976	TRUE
13650	"2000-01-01 00:01:43.875"	2.6158	8.272	23.98	TRUE
13780	"2000-01-01 00:01:44.000"	2.5379	8.3029	23.9438	TRUE
13910	"2000-01-01 00:01:44.125"	2.4604	8.3418	23.8996	TRUE
14040	"2000-01-01 00:01:44.250"	2.3967	8.4291	23.8323	TRUE
14170	"2000-01-01 00:01:44.375"	2.3476	8.4361	23.8266	TRUE
14300	"2000-01-01 00:01:44.500"	2.3169	8.4497	23.8008	TRUE
14430	"2000-01-01 00:01:44.625"	2.3066	8.4399	23.8057	TRUE
14560	"2000-01-01 00:01:44.750"	2.3346	8.3263	23.9343	TRUE
14690	"2000-01-01 00:01:44.875"	2.3773	8.2998	23.9535	TRUE
14820	"2000-01-01 00:01:45.000"	2.4199	8.4062	23.8303	TRUE
14950	"2000-01-01 00:01:45.125"	2.4789	8.4335	23.8223	TRUE
15080	"2000-01-01 00:01:45.250"	2.5586	8.3557	23.9359	TRUE
15210	"2000-01-01 00:01:45.375"	2.6356	8.2383	24.0463	TRUE
15340	"2000-01-01 00:01:45.500"	2.6895	8.2144	24.0651	TRUE
15470	"2000-01-01 00:01:45.625"	2.7278	8.212	24.0664	TRUE
15600	"2000-01-01 00:01:45.750"	2.7363	8.2174	24.055	TRUE
15730	"2000-01-01 00:01:45.875"	2.7177	8.25	24.0166	TRUE
15860	"2000-01-01 00:01:46.000"	2.6763	8.2734	23.975	TRUE
15990	"2000-01-01 00:01:46.125"	2.6254	8.3932	23.8685	TRUE
16120	"2000-01-01 00:01:46.250"	2.565	8.4131	23.8154	TRUE
16250	"2000-01-01 00:01:46.375"	2.4961	8.4268	23.7599	TRUE
16380	"2000-01-01 00:01:46.500"	2.4328	8.4512	23.7326	TRUE
16510	"2000-01-01 00:01:46.625"	2.3742	8.4654	23.7107	TRUE
16640	"2000-01-01 00:01:46.750"	2.3311	8.5223	23.6768	TRUE
16640	"2000-01-01 00:01:46.875"	2.2936	8.5307	23.6788	TRUE
16770	"2000-01-01 00:01:47.000"	2.2781	8.522	23.6702	TRUE
16900	"2000-01-01 00:01:47.125"	2.2727	8.54	23.6454	TRUE
17030	"2000-01-01 00:01:47.250"	2.2764	8.4805	23.6901	TRUE
17160	"2000-01-01 00:01:47.375"	2.2914	8.4296	23.757	TRUE
17290	"2000-01-01 00:01:47.500"	2.3108	8.4286	23.8045	TRUE
17420	"2000-01-01 00:01:47.625"	2.326	8.4437	23.7934	TRUE
17550	"2000-01-01 00:01:47.750"	2.3598	8.4721	23.7689	TRUE
17680	"2000-01-01 00:01:47.875"	2.3882	8.4917	23.7533	TRUE
17810	"2000-01-01 00:01:48.000"	2.4167	8.4668	23.7686	TRUE
17940	"2000-01-01 00:01:48.125"	2.4449	8.467	23.7705	TRUE
18070	"2000-01-01 00:01:48.250"	2.4679	8.46	23.7853	TRUE
18200	"2000-01-01 00:01:48.375"	2.4706	8.4575	23.7829	TRUE
18330	"2000-01-01 00:01:48.500"	2.4699	8.4541	23.7712	TRUE
18460	"2000-01-01 00:01:48.625"	2.4442	8.4758	23.7318	TRUE
18590	"2000-01-01 00:01:48.750"	2.4148	8.4879	23.7347	TRUE
18720	"2000-01-01 00:01:48.875"	2.3719	8.4848	23.7096	TRUE
18850	"2000-01-01 00:01:49.000"	2.3159	8.5184	23.6631	TRUE
18980	"2000-01-01 00:01:49.125"	2.256	8.5405	23.6146	TRUE
19110	"2000-01-01 00:01:49.250"	2.1905	8.5861	23.5608	TRUE
19240	"2000-01-01 00:01:49.375"	2.1352	8.6171	23.5161	TRUE
19370	"2000-01-01 00:01:49.500"	2.0932	8.7348	23.4392	TRUE
19500	"2000-01-01 00:01:49.625"	2.0637	8.784	23.4033	TRUE
19630	"2000-01-01 00:01:49.750"	2.0487	8.7596	23.393	TRUE
19760	"2000-01-01 00:01:49.875"	2.0695	8.7033	23.4116	TRUE
19760	"2000-01-01 00:01:50.000"	2.1106	8.6327	23.474	TRUE
19890	"2000-01-01 00:01:50.125"	2.1501	8.6363	23.478	TRUE
20020	"2000-01-01 00:01:50.250"	2.2059	8.6872	23.4315	TRUE
20150	"2000-01-01 00:01:50.375"	2.2763	8.6438	23.5178	TRUE
20280	"2000-01-01 00:01:50.500"	2.3258	8.5415	23.6214	TRUE
20410	"2000-01-01 00:01:50.625"	2.3659	8.5661	23.5951	TRUE
20540	"2000-01-01 00:01:50.750"	2.3902	8.5607	23.5993	TRUE
20670	"2000-01-01 00:01:50.875"	2.3947	8.5657	23.5837	TRUE
20800	"2000-01-01 00:01:51.000"	2.3731	8.5749	23.556	TRUE
