"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:02:45.000"	1.2425	10.611	17.4864	FALSE
130	"2000-01-01 00:02:45.125"	1.2505	10.6046	17.4565	FALSE
130	"2000-01-01 00:02:45.250"	1.2477	10.6018	17.3817	FALSE
260	"2000-01-01 00:02:45.375"	1.2285	10.6696	17.3367	FALSE
390	"2000-01-01 00:02:45.500"	1.1951	10.6354	17.3319	FALSE
520	"2000-01-01 00:02:45.625"	1.1484	10.6748	17.0614	FALSE
650	"2000-01-01 00:02:45.750"	1.0932	10.686	15.9377	FALSE
780	"2000-01-01 00:02:45.875"	1.0343	10.7609	15.628	FALSE
910	"2000-01-01 00:02:46.000"	0.978	10.9878	15.476	FALSE
1040	"2000-01-01 00:02:46.125"	0.935	11.183	15.3943	FALSE
1170	"2000-01-01 00:02:46.250"	0.9149	11.335	15.3975	FALSE
1300	"2000-01-01 00:02:46.375"	0.9265	11.4906	15.4325	FALSE
1430	"2000-01-01 00:02:46.500"	0.9672	11.3826	15.7691	FALSE
1560	"2000-01-01 00:02:46.625"	1.0247	10.9826	16.9351	FALSE
1690	"2000-01-01 00:02:46.750"	1.0963	10.7699	17.2694	FALSE
1820	"2000-01-01 00:02:46.875"	1.1722	10.6269	17.5253	FALSE
1950	"2000-01-01 00:02:47.000"	1.2315	10.582	17.5737	FALSE
2080	"2000-01-01 00:02:47.125"	1.267	10.5799	17.5608	FALSE
2210	"2000-01-01 00:02:47.250"	1.2769	10.5817	17.4572	TRUE
2340	"2000-01-01 00:02:47.375"	1.2681	10.58	17.4202	TRUE
2470	"2000-01-01 00:02:47.500"	1.2234	10.6155	17.4	TRUE
2600	"2000-01-01 00:02:47.625"	1.1699	10.6728	17.2421	TRUE
2730	"2000-01-01 00:02:47.750"	1.105	11.2119	15.9376	TRUE
2860	"2000-01-01 00:02:47.875"	1.043	11.3375	15.2345	TRUE
2990	"2000-01-01 00:02:48.000"	0.9874	11.8122	14.7189	TRUE
3120	"2000-01-01 00:02:48.125"	0.9414	11.9001	14.3808	TRUE
3250	"2000-01-01 00:02:48.250"	0.9117	11.8722	14.2387	TRUE
3380	"2000-01-01 00:02:48.375"	0.9061	11.6414	13.5054	TRUE
3380	"2000-01-01 00:02:48.500"	0.9232	11.6593	13.4194	TRUE
3510	"2000-01-01 00:02:48.625"	0.9668	11.4926	15.5703	TRUE
3640	"2000-01-01 00:02:48.750"	1.0131	11.1618	16.6631	TRUE
3770	"2000-01-01 00:02:48.875"	1.0655	10.9296	17.0891	TRUE
3900	"2000-01-01 00:02:49.000"	1.1169	10.8018	17.2738	TRUE
4030	"2000-01-01 00:02:49.125"	1.1559	10.7686	17.35	TRUE
4160	"2000-01-01 00:02:49.250"	1.1778	10.7161	17.3829	TRUE
4290	"2000-01-01 00:02:49.375"	1.1898	10.6742	17.3866	TRUE
4420	"2000-01-01 00:02:49.500"	1.193	10.6457	17.3392	TRUE
4550	"2000-01-01 00:02:49.625"	1.1831	10.6744	17.2214	TRUE
4680	"2000-01-01 00:02:49.750"	1.1546	10.7576	17.192	TRUE
4810	"2000-01-01 00:02:49.875"	1.1207	10.7039	16.9326	TRUE
4940	"2000-01-01 00:02:50.000"	1.0714	10.7484	16.7366	TRUE
5070	"2000-01-01 00:02:50.125"	1.02	11.1906	15.9784	TRUE
5200	"2000-01-01 00:02:50.250"	0.9765	11.3367	15.1332	TRUE
5330	"2000-01-01 00:02:50.375"	0.941	11.1533	14.9161	TRUE
5460	"2000-01-01 00:02:50.500"	0.9224	10.9988	14.9875	TRUE
5590	"2000-01-01 00:02:50.625"	0.9167	11.0907	15.064	TRUE
5720	"2000-01-01 00:02:50.750"	0.9327	11.3439	15.1815	TRUE
5850	"2000-01-01 00:02:50.875"	0.9598	11.4155	15.4852	TRUE
5980	"2000-01-01 00:02:51.000"	1.0052	11.0934	16.6508	TRUE
6110	"2000-01-01 00:02:51.125"	1.059	10.8158	17.1674	TRUE
6240	"2000-01-01 00:02:51.250"	1.1085	10.745	17.3436	TRUE
6370	"2000-01-01 00:02:51.375"	1.149	10.672	17.4387	TRUE
6500	"2000-01-01 00:02:51.500"	1.1801	10.621	17.4801	TRUE
6630	"2000-01-01 00:02:51.625"	1.1963	10.617	17.4804	TRUE
6760	"2000-01-01 00:02:51.750"	1.1993	10.6329	17.3736	TRUE
6760	"2000-01-01 00:02:51.875"	1.1816	10.7068	17.3261	TRUE
6890	"2000-01-01 00:02:52.000"	1.149	10.6655	17.3828	TRUE
7020	"2000-01-01 00:02:52.125"	1.117	10.6825	16.8476	TRUE
7150	"2000-01-01 00:02:52.250"	1.066	10.9995	16.0564	TRUE
7280	"2000-01-01 00:02:52.375"	1.0184	11.6643	13.7895	TRUE
7410	"2000-01-01 00:02:52.500"	0.9709	11.6135	13.1266	TRUE
7540	"2000-01-01 00:02:52.625"	0.9344	11.7422	13.3092	TRUE
7670	"2000-01-01 00:02:52.750"	0.9096	11.586	13.491	TRUE
7800	"2000-01-01 00:02:52.875"	0.8957	11.4195	13.6005	TRUE
7930	"2000-01-01 00:02:53.000"	0.8923	11.4917	13.6384	TRUE
8060	"2000-01-01 00:02:53.125"	0.8994	11.6589	13.9885	TRUE
8190	"2000-01-01 00:02:53.250"	0.916	11.7049	14.3356	TRUE
