"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:51.250"	-0.0383	18.1438	0.2046	FALSE
0	"2000-01-01 00:00:51.375"	-0.0369	18.1435	0.2048	FALSE
130	"2000-01-01 00:00:51.500"	-0.0374	18.1424	0.2051	FALSE
260	"2000-01-01 00:00:51.625"	-0.0294	18.1375	0.2043	FALSE
390	"2000-01-01 00:00:51.750"	-0.0246	18.1392	0.2056	FALSE
520	"2000-01-01 00:00:51.875"	-0.0209	18.1428	0.206	FALSE
650	"2000-01-01 00:00:52.000"	-0.027	18.1435	0.2054	FALSE
780	"2000-01-01 00:00:52.125"	-0.0371	18.1417	0.205	FALSE
910	"2000-01-01 00:00:52.250"	-0.0356	18.1415	0.2054	FALSE
1040	"2000-01-01 00:00:52.375"	-0.0341	18.1399	0.204	FALSE
1170	"2000-01-01 00:00:52.500"	-0.0334	18.1392	0.2054	FALSE
1300	"2000-01-01 00:00:52.625"	-0.0375	18.139	0.205	FALSE
1430	"2000-01-01 00:00:52.750"	-0.0364	18.1416	0.2057	FALSE
1560	"2000-01-01 00:00:52.875"	-0.0336	18.1397	0.2058	FALSE
1690	"2000-01-01 00:00:53.000"	-0.027	18.1385	0.2054	FALSE
1820	"2000-01-01 00:00:53.125"	-0.024	18.14	0.2056	FALSE
1950	"2000-01-01 00:00:53.250"	-0.0313	18.1395	0.2052	FALSE
2080	"2000-01-01 00:00:53.375"	-0.0396	18.14	0.2053	FALSE
2210	"2000-01-01 00:00:53.500"	-0.0353	18.1417	0.2052	FALSE
2340	"2000-01-01 00:00:53.625"	-0.0361	18.1419	0.2053	FALSE
2470	"2000-01-01 00:00:53.750"	-0.0366	18.1413	0.2046	FALSE
2600	"2000-01-01 00:00:53.875"	-0.0305	18.1409	0.2052	FALSE
2730	"2000-01-01 00:00:54.000"	-0.0205	18.1407	0.2053	FALSE
2860	"2000-01-01 00:00:54.125"	-0.0211	18.1395	0.2063	FALSE
2990	"2000-01-01 00:00:54.250"	-0.031	18.1383	0.2056	FALSE
3120	"2000-01-01 00:00:54.375"	-0.0387	18.1469	0.206	FALSE
3250	"2000-01-01 00:00:54.500"	-0.035	18.1517	0.2047	FALSE
3250	"2000-01-01 00:00:54.625"	-0.0349	18.151	0.205	FALSE
3380	"2000-01-01 00:00:54.750"	-0.0298	18.1477	0.2052	FALSE
3510	"2000-01-01 00:00:54.875"	-0.0256	18.1478	0.2049	FALSE
3640	"2000-01-01 00:00:55.000"	-0.0258	18.1466	0.205	FALSE
3770	"2000-01-01 00:00:55.125"	-0.0284	18.1478	0.205	FALSE
3900	"2000-01-01 00:00:55.250"	-0.032	18.1477	0.2058	FALSE
4030	"2000-01-01 00:00:55.375"	-0.0355	18.145	0.2062	FALSE
4160	"2000-01-01 00:00:55.500"	-0.0395	18.1489	0.2043	FALSE
4290	"2000-01-01 00:00:55.625"	-0.0373	18.1535	0.2053	FALSE
4420	"2000-01-01 00:00:55.750"	-0.0232	18.1502	0.2055	FALSE
4550	"2000-01-01 00:00:55.875"	-0.0211	18.1471	0.2058	FALSE
4680	"2000-01-01 00:00:56.000"	-0.0196	18.1438	0.2056	FALSE
4810	"2000-01-01 00:00:56.125"	-0.0264	18.1438	0.2058	FALSE
4940	"2000-01-01 00:00:56.250"	-0.034	18.1446	0.2064	FALSE
5070	"2000-01-01 00:00:56.375"	-0.0409	18.1472	0.2053	TRUE
5200	"2000-01-01 00:00:56.500"	-0.0361	18.1491	0.2056	TRUE
5330	"2000-01-01 00:00:56.625"	-0.0345	18.1498	0.2051	TRUE
5460	"2000-01-01 00:00:56.750"	-0.0286	18.1503	0.2056	TRUE
5590	"2000-01-01 00:00:56.875"	-0.0229	18.1497	0.2061	TRUE
5720	"2000-01-01 00:00:57.000"	-0.0169	18.1474	0.2054	TRUE
5850	"2000-01-01 00:00:57.125"	-0.0066	18.1455	0.2056	TRUE
5980	"2000-01-01 00:00:57.250"	-0.004	18.145	0.2051	TRUE
6110	"2000-01-01 00:00:57.375"	-0.0078	18.145	0.2062	TRUE
6240	"2000-01-01 00:00:57.500"	-0.0071	18.1471	0.2051	TRUE
6370	"2000-01-01 00:00:57.625"	0.0035	18.1499	0.2055	TRUE
6500	"2000-01-01 00:00:57.750"	0.0224	18.149	0.2059	TRUE
6500	"2000-01-01 00:00:57.875"	0.042	18.1505	0.2054	TRUE
6630	"2000-01-01 00:00:58.000"	0.0538	18.1525	0.205	TRUE
6760	"2000-01-01 00:00:58.125"	0.0547	18.154	0.2059	TRUE
6890	"2000-01-01 00:00:58.250"	0.0484	18.1545	0.2061	TRUE
7020	"2000-01-01 00:00:58.375"	0.0412	18.1544	0.2052	TRUE
7150	"2000-01-01 00:00:58.500"	0.0468	18.1539	0.2052	TRUE
7280	"2000-01-01 00:00:58.625"	0.0684	18.1555	0.2054	TRUE
7410	"2000-01-01 00:00:58.750"	0.0969	18.1557	0.2054	TRUE
7540	"2000-01-01 00:00:58.875"	0.1161	18.1561	0.2048	TRUE
7670	"2000-01-01 00:00:59.000"	0.1312	18.1585	0.2059	TRUE
7800	"2000-01-01 00:00:59.125"	0.1376	18.1575	0.2043	TRUE
7930	"2000-01-01 00:00:59.250"	0.1385	18.1561	0.2053	TRUE
8060	"2000-01-01 00:00:59.375"	0.1435	18.154	0.2055	TRUE
8190	"2000-01-01 00:00:59.500"	0.154	18.1538	0.2055	TRUE
8320	"2000-01-01 00:00:59.625"	0.1658	18.1529	0.2057	TRUE
8450	"2000-01-01 00:00:59.750"	0.1787	18.1528	0.206	TRUE
8580	"2000-01-01 00:00:59.875"	0.188	18.1531	0.206	TRUE
8710	"2000-01-01 00:01:00.000"	0.1911	18.1531	0.2056	TRUE
8840	"2000-01-01 00:01:00.125"	0.1906	18.1521	0.2056	TRUE
8970	"2000-01-01 00:01:00.250"	0.1879	18.1522	0.2054	TRUE
9100	"2000-01-01 00:01:00.375"	0.1886	18.151	0.2054	TRUE
9230	"2000-01-01 00:01:00.500"	0.1955	18.1487	0.2052	TRUE
9360	"2000-01-01 00:01:00.625"	0.2101	18.1474	0.2064	TRUE
9490	"2000-01-01 00:01:00.750"	0.2273	18.146	0.2052	TRUE
9620	"2000-01-01 00:01:00.875"	0.2453	18.1479	0.2063	TRUE
9750	"2000-01-01 00:01:01.000"	0.2581	18.1478	0.2056	TRUE
9750	"2000-01-01 00:01:01.125"	0.2644	18.1476	0.2041	TRUE
9880	"2000-01-01 00:01:01.250"	0.2669	18.149	0.2049	TRUE
10010	"2000-01-01 00:01:01.375"	0.2698	18.151	0.2057	TRUE
10140	"2000-01-01 00:01:01.500"	0.2743	18.1511	0.2046	TRUE
10270	"2000-01-01 00:01:01.625"	0.2834	18.147	0.2046	TRUE
10400	"2000-01-01 00:01:01.750"	0.2834	18.147	0.2046	TRUE
10530	"2000-01-01 00:01:01.875"	0.2834	18.1492	0.2048	TRUE
10660	"2000-01-01 00:01:02.000"	0.3173	18.1504	0.2044	TRUE
10790	"2000-01-01 00:01:02.125"	0.3208	18.1503	0.205	TRUE
10920	"2000-01-01 00:01:02.250"	0.3218	18.1518	0.2055	TRUE
11050	"2000-01-01 00:01:02.375"	0.3277	18.1522	0.2047	TRUE
11180	"2000-01-01 00:01:02.500"	0.3339	18.1504	0.2054	TRUE
11310	"2000-01-01 00:01:02.625"	0.3443	18.1514	0.206	TRUE
11440	"2000-01-01 00:01:02.750"	0.3579	18.1502	0.2056	TRUE
11570	"2000-01-01 00:01:02.875"	0.3686	18.1503	0.2055	TRUE
11700	"2000-01-01 00:01:03.000"	0.3786	18.1511	0.2054	TRUE
11830	"2000-01-01 00:01:03.125"	0.3861	18.1525	0.2061	TRUE
