"Time_ms"	"DateTime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:03.000"	0.2059	7.9388	5.4555	FALSE
130	"2000-01-01 00:00:03.125"	0.2037	7.9365	5.3651	FALSE
260	"2000-01-01 00:00:03.250"	0.2022	7.9432	5.3322	FALSE
390	"2000-01-01 00:00:03.375"	0.2042	7.9697	5.3699	FALSE
520	"2000-01-01 00:00:03.500"	0.2078	7.9698	5.432	FALSE
650	"2000-01-01 00:00:03.625"	0.2145	7.9651	5.4814	FALSE
780	"2000-01-01 00:00:03.750"	0.2208	7.963	5.5148	FALSE
910	"2000-01-01 00:00:03.875"	0.2272	7.9626	5.5448	FALSE
1040	"2000-01-01 00:00:04.000"	0.2314	7.9513	5.5534	FALSE
1170	"2000-01-01 00:00:04.125"	0.2321	7.9504	5.5228	FALSE
1300	"2000-01-01 00:00:04.250"	0.2322	7.9509	5.401	FALSE
1430	"2000-01-01 00:00:04.375"	0.2268	7.9971	5.0871	FALSE
1560	"2000-01-01 00:00:04.500"	0.2208	8.0583	4.6488	FALSE
1690	"2000-01-01 00:00:04.625"	0.2141	8.1006	4.2163	FALSE
1820	"2000-01-01 00:00:04.750"	0.2074	8.1243	3.9388	FALSE
1950	"2000-01-01 00:00:04.875"	0.2019	8.168	3.7417	FALSE
2080	"2000-01-01 00:00:05.000"	0.1981	8.2262	3.6973	FALSE
2210	"2000-01-01 00:00:05.125"	0.1978	8.3884	3.7469	FALSE
2340	"2000-01-01 00:00:05.250"	0.1988	8.5636	3.8986	FALSE
2470	"2000-01-01 00:00:05.375"	0.2013	8.4377	4.1051	FALSE
2600	"2000-01-01 00:00:05.500"	0.2064	8.2186	4.3314	FALSE
2730	"2000-01-01 00:00:05.625"	0.2106	8.1696	4.5123	FALSE
2730	"2000-01-01 00:00:05.750"	0.2152	8.145	4.6728	FALSE
2860	"2000-01-01 00:00:05.875"	0.2199	8.2152	4.7923	FALSE
2990	"2000-01-01 00:00:06.000"	0.2235	8.4172	4.8053	FALSE
3120	"2000-01-01 00:00:06.125"	0.2276	8.5368	4.7607	FALSE
3250	"2000-01-01 00:00:06.250"	0.2299	8.5029	4.7269	FALSE
3380	"2000-01-01 00:00:06.375"	0.2314	8.4571	4.6682	FALSE
3510	"2000-01-01 00:00:06.500"	0.2319	8.4075	4.4709	FALSE
3640	"2000-01-01 00:00:06.625"	0.2295	8.3833	4.0622	FALSE
3770	"2000-01-01 00:00:06.750"	0.2248	8.3742	3.5444	FALSE
3900	"2000-01-01 00:00:06.875"	0.2173	8.4333	3.0451	FALSE
4030	"2000-01-01 00:00:07.000"	0.2107	8.5465	2.705	FALSE
4160	"2000-01-01 00:00:07.125"	0.2034	8.6975	2.4957	FALSE
4290	"2000-01-01 00:00:07.250"	0.1987	8.8101	2.4102	FALSE
4420	"2000-01-01 00:00:07.375"	0.1969	9.0262	2.3811	FALSE
4550	"2000-01-01 00:00:07.500"	0.1952	9.1413	2.3893	FALSE
4680	"2000-01-01 00:00:07.625"	0.1958	9.2375	2.4145	FALSE
4810	"2000-01-01 00:00:07.750"	0.1975	9.3409	2.4488	FALSE
4940	"2000-01-01 00:00:07.875"	0.1988	9.3775	2.4947	FALSE
5070	"2000-01-01 00:00:08.000"	0.2004	9.3764	2.5394	FALSE
5200	"2000-01-01 00:00:08.125"	0.2041	9.4246	2.5813	FALSE
5330	"2000-01-01 00:00:08.250"	0.2098	9.3823	2.655	FALSE
5460	"2000-01-01 00:00:08.375"	0.2146	9.3394	2.7248	FALSE
5590	"2000-01-01 00:00:08.500"	0.2202	9.3566	2.7378	FALSE
5720	"2000-01-01 00:00:08.625"	0.2244	9.4107	2.7178	FALSE
5850	"2000-01-01 00:00:08.750"	0.2254	9.4267	2.6824	FALSE
5850	"2000-01-01 00:00:08.875"	0.2239	9.4495	2.6057	FALSE
6110	"2000-01-01 00:00:09.000"	0.2202	9.4426	2.508	FALSE
6110	"2000-01-01 00:00:09.125"	0.215	9.4187	2.4008	FALSE
6370	"2000-01-01 00:00:09.250"	0.2093	9.4205	2.3121	FALSE
6370	"2000-01-01 00:00:09.375"	0.2044	9.4509	2.2287	FALSE
6500	"2000-01-01 00:00:09.500"	0.2027	9.4505	2.2075	FALSE
6630	"2000-01-01 00:00:09.625"	0.2021	9.4636	2.2256	FALSE
6760	"2000-01-01 00:00:09.750"	0.2046	9.4379	2.2639	FALSE
6890	"2000-01-01 00:00:09.875"	0.2095	9.4085	2.2897	FALSE
7020	"2000-01-01 00:00:10.000"	0.2147	9.4103	2.2945	FALSE
7150	"2000-01-01 00:00:10.125"	0.2195	9.4236	2.2914	FALSE
7280	"2000-01-01 00:00:10.250"	0.2236	9.4073	2.2779	FALSE
7410	"2000-01-01 00:00:10.375"	0.2249	9.3617	2.2607	FALSE
7540	"2000-01-01 00:00:10.500"	0.225	9.3385	2.2304	FALSE
7670	"2000-01-01 00:00:10.625"	0.2224	9.3342	2.1741	FALSE
7800	"2000-01-01 00:00:10.750"	0.2177	9.3514	2.0987	FALSE
7930	"2000-01-01 00:00:10.875"	0.2127	9.3686	1.9954	FALSE
8060	"2000-01-01 00:00:11.000"	0.2071	9.3901	1.8847	FALSE
8190	"2000-01-01 00:00:11.125"	0.2044	9.3969	1.8227	FALSE
8320	"2000-01-01 00:00:11.250"	0.2019	9.3893	1.8111	FALSE
8450	"2000-01-01 00:00:11.375"	0.2018	9.3828	1.8271	FALSE
8580	"2000-01-01 00:00:11.500"	0.2034	9.3739	1.8653	FALSE
8710	"2000-01-01 00:00:11.625"	0.2076	9.3859	1.928	FALSE
