"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:03:20.875"	4.7683	7.2035	22.5052	FALSE
130	"2000-01-01 00:03:21.000"	4.7734	7.1976	22.5069	FALSE
260	"2000-01-01 00:03:21.125"	4.782	7.1958	22.5069	FALSE
390	"2000-01-01 00:03:21.250"	4.7933	7.2003	22.5032	FALSE
520	"2000-01-01 00:03:21.375"	4.8081	7.1936	22.5071	FALSE
650	"2000-01-01 00:03:21.500"	4.8233	7.1794	22.5135	FALSE
780	"2000-01-01 00:03:21.625"	4.838	7.1764	22.51	FALSE
910	"2000-01-01 00:03:21.750"	4.8512	7.1773	22.5078	FALSE
1040	"2000-01-01 00:03:21.875"	4.862	7.1761	22.5069	FALSE
1170	"2000-01-01 00:03:22.000"	4.8694	7.1786	22.5049	FALSE
1300	"2000-01-01 00:03:22.125"	4.8721	7.1804	22.5045	FALSE
1430	"2000-01-01 00:03:22.250"	4.8703	7.18	22.5051	FALSE
1560	"2000-01-01 00:03:22.375"	4.8639	7.1795	22.5075	FALSE
1690	"2000-01-01 00:03:22.500"	4.854	7.1781	22.5094	FALSE
1820	"2000-01-01 00:03:22.625"	4.841	7.1765	22.5122	FALSE
1950	"2000-01-01 00:03:22.750"	4.8262	7.1775	22.5098	FALSE
2080	"2000-01-01 00:03:22.875"	4.8103	7.1776	22.5094	FALSE
2210	"2000-01-01 00:03:23.000"	4.7955	7.1808	22.5078	FALSE
2340	"2000-01-01 00:03:23.125"	4.7836	7.1845	22.5069	FALSE
2470	"2000-01-01 00:03:23.250"	4.7763	7.1903	22.5038	FALSE
2600	"2000-01-01 00:03:23.375"	4.7734	7.1884	22.5038	FALSE
2730	"2000-01-01 00:03:23.500"	4.7731	7.1893	22.502	FALSE
2860	"2000-01-01 00:03:23.625"	4.7761	7.1885	22.5032	FALSE
2990	"2000-01-01 00:03:23.750"	4.7838	7.186	22.5034	FALSE
3120	"2000-01-01 00:03:23.875"	4.7936	7.1857	22.5031	FALSE
3250	"2000-01-01 00:03:24.000"	4.804	7.1862	22.5025	FALSE
3250	"2000-01-01 00:03:24.125"	4.8159	7.1876	22.4999	FALSE
3380	"2000-01-01 00:03:24.250"	4.8256	7.1828	22.5031	FALSE
3510	"2000-01-01 00:03:24.375"	4.8347	7.1803	22.504	FALSE
3640	"2000-01-01 00:03:24.500"	4.8397	7.1795	22.5042	FALSE
3770	"2000-01-01 00:03:24.625"	4.8415	7.1799	22.503	FALSE
3900	"2000-01-01 00:03:24.750"	4.841	7.1805	22.504	FALSE
4030	"2000-01-01 00:03:24.875"	4.8375	7.1807	22.5035	FALSE
4160	"2000-01-01 00:03:25.000"	4.8325	7.1812	22.5045	FALSE
4290	"2000-01-01 00:03:25.125"	4.8257	7.1806	22.5063	FALSE
4420	"2000-01-01 00:03:25.250"	4.8193	7.1792	22.5066	FALSE
4550	"2000-01-01 00:03:25.375"	4.8129	7.1785	22.5074	FALSE
4680	"2000-01-01 00:03:25.500"	4.8083	7.1793	22.5076	FALSE
4810	"2000-01-01 00:03:25.625"	4.8064	7.1795	22.5067	FALSE
4940	"2000-01-01 00:03:25.750"	4.8063	7.1803	22.5068	FALSE
5070	"2000-01-01 00:03:25.875"	4.807	7.1801	22.5078	FALSE
5200	"2000-01-01 00:03:26.000"	4.8094	7.1783	22.5078	FALSE
5330	"2000-01-01 00:03:26.125"	4.8108	7.178	22.5066	FALSE
5460	"2000-01-01 00:03:26.250"	4.8137	7.1789	22.506	FALSE
5590	"2000-01-01 00:03:26.375"	4.8164	7.1789	22.5061	FALSE
5720	"2000-01-01 00:03:26.500"	4.8201	7.1791	22.5055	FALSE
5850	"2000-01-01 00:03:26.625"	4.8238	7.1788	22.5065	FALSE
5980	"2000-01-01 00:03:26.750"	4.8269	7.1789	22.5066	FALSE
6110	"2000-01-01 00:03:26.875"	4.8306	7.1794	22.5058	FALSE
6240	"2000-01-01 00:03:27.000"	4.8317	7.1794	22.506	FALSE
6370	"2000-01-01 00:03:27.125"	4.8314	7.1802	22.5059	TRUE
6500	"2000-01-01 00:03:27.250"	4.8293	7.1798	22.5078	TRUE
6630	"2000-01-01 00:03:27.375"	4.8253	7.1809	22.5062	TRUE
6630	"2000-01-01 00:03:27.500"	4.8191	7.1807	22.5065	TRUE
6760	"2000-01-01 00:03:27.625"	4.8117	7.1814	22.5066	TRUE
6890	"2000-01-01 00:03:27.750"	4.802	7.1816	22.5072	TRUE
7020	"2000-01-01 00:03:27.875"	4.792	7.1814	22.506	TRUE
7150	"2000-01-01 00:03:28.000"	4.7822	7.1824	22.5064	TRUE
7280	"2000-01-01 00:03:28.125"	4.7722	7.1814	22.5065	TRUE
7410	"2000-01-01 00:03:28.250"	4.7659	7.1803	22.5078	TRUE
7540	"2000-01-01 00:03:28.375"	4.7605	7.1768	22.5093	TRUE
7670	"2000-01-01 00:03:28.500"	4.7563	7.1784	22.5089	TRUE
7800	"2000-01-01 00:03:28.625"	4.7542	7.1797	22.5088	TRUE
7930	"2000-01-01 00:03:28.750"	4.7521	7.1812	22.5066	TRUE
8060	"2000-01-01 00:03:28.875"	4.7509	7.1806	22.5069	TRUE
8190	"2000-01-01 00:03:29.000"	4.7486	7.181	22.5058	TRUE
8320	"2000-01-01 00:03:29.125"	4.7431	7.1811	22.5057	TRUE
8450	"2000-01-01 00:03:29.250"	4.7395	7.181	22.5063	TRUE
8580	"2000-01-01 00:03:29.375"	4.7286	7.182	22.5058	TRUE
8710	"2000-01-01 00:03:29.500"	4.7193	7.1831	22.5054	TRUE
8840	"2000-01-01 00:03:29.625"	4.7056	7.1834	22.5047	TRUE
8970	"2000-01-01 00:03:29.750"	4.6925	7.1826	22.5064	TRUE
9100	"2000-01-01 00:03:29.875"	4.6774	7.1825	22.5059	TRUE
9230	"2000-01-01 00:03:30.000"	4.6648	7.1827	22.507	TRUE
9360	"2000-01-01 00:03:30.125"	4.6499	7.1853	22.5064	TRUE
9490	"2000-01-01 00:03:30.250"	4.6402	7.1865	22.5053	TRUE
9620	"2000-01-01 00:03:30.375"	4.6277	7.1902	22.5046	TRUE
9750	"2000-01-01 00:03:30.500"	4.6206	7.1933	22.5038	TRUE
9750	"2000-01-01 00:03:30.625"	4.6121	7.1928	22.5036	TRUE
9880	"2000-01-01 00:03:30.750"	4.6064	7.1922	22.5037	TRUE
10010	"2000-01-01 00:03:30.875"	4.6022	7.1924	22.5034	TRUE
10140	"2000-01-01 00:03:31.000"	4.598	7.192	22.5046	TRUE
10270	"2000-01-01 00:03:31.125"	4.5946	7.1898	22.5051	TRUE
10400	"2000-01-01 00:03:31.250"	4.589	7.1921	22.5037	TRUE
10530	"2000-01-01 00:03:31.375"	4.5835	7.1922	22.5043	TRUE
10660	"2000-01-01 00:03:31.500"	4.5744	7.1937	22.5032	TRUE
10790	"2000-01-01 00:03:31.625"	4.563	7.1956	22.5038	TRUE
10920	"2000-01-01 00:03:31.750"	4.5507	7.1969	22.5044	TRUE
11050	"2000-01-01 00:03:31.875"	4.5345	7.2003	22.5039	TRUE
11180	"2000-01-01 00:03:32.000"	4.5177	7.2032	22.5042	TRUE
11310	"2000-01-01 00:03:32.125"	4.5002	7.2065	22.5029	TRUE
11440	"2000-01-01 00:03:32.250"	4.4844	7.2072	22.5028	TRUE
11570	"2000-01-01 00:03:32.375"	4.4674	7.2049	22.5037	TRUE
11700	"2000-01-01 00:03:32.500"	4.4521	7.2035	22.5047	TRUE
11830	"2000-01-01 00:03:32.625"	4.4382	7.2025	22.5061	TRUE
11960	"2000-01-01 00:03:32.750"	4.4268	7.2008	22.5063	TRUE
12090	"2000-01-01 00:03:32.875"	4.4184	7.2013	22.5052	TRUE
12220	"2000-01-01 00:03:33.000"	4.4121	7.2045	22.5026	TRUE
12350	"2000-01-01 00:03:33.125"	4.4069	7.205	22.5011	TRUE
12480	"2000-01-01 00:03:33.250"	4.405	7.2042	22.5021	TRUE
12610	"2000-01-01 00:03:33.375"	4.4024	7.2021	22.5018	TRUE
12740	"2000-01-01 00:03:33.500"	4.4009	7.2007	22.5031	TRUE
12870	"2000-01-01 00:03:33.625"	4.3971	7.1991	22.5057	TRUE
13000	"2000-01-01 00:03:33.750"	4.3922	7.1989	22.5051	TRUE
13000	"2000-01-01 00:03:33.875"	4.3849	7.1991	22.5044	TRUE
13130	"2000-01-01 00:03:34.000"	4.373	7.2004	22.5023	TRUE
