"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:03.000"	0.0147	7.0122	0	FALSE
130	"2000-01-01 00:00:03.125"	0.0139	7.0129	0	FALSE
260	"2000-01-01 00:00:03.250"	0.011	7.0122	0	FALSE
390	"2000-01-01 00:00:03.375"	0.0111	7.0174	0	FALSE
520	"2000-01-01 00:00:03.500"	0.012	7.0402	0	FALSE
650	"2000-01-01 00:00:03.625"	0.013	7.0453	0	FALSE
780	"2000-01-01 00:00:03.750"	0.0136	7.0468	0	FALSE
910	"2000-01-01 00:00:03.875"	0.0151	7.0441	0	FALSE
1040	"2000-01-01 00:00:04.000"	0.0132	7.0426	0	FALSE
1170	"2000-01-01 00:00:04.125"	0.0122	7.0401	0	FALSE
1300	"2000-01-01 00:00:04.250"	0.0112	7.0405	0	FALSE
1430	"2000-01-01 00:00:04.375"	0.0132	7.0424	0	FALSE
1560	"2000-01-01 00:00:04.500"	0.0145	7.0417	0	FALSE
1690	"2000-01-01 00:00:04.625"	0.0138	7.0416	0	FALSE
1820	"2000-01-01 00:00:04.750"	0.0129	7.0419	0	FALSE
1950	"2000-01-01 00:00:04.875"	0.0126	7.0416	0	FALSE
2080	"2000-01-01 00:00:05.000"	0.0122	7.0401	0	FALSE
2210	"2000-01-01 00:00:05.125"	0.0129	7.041	0	FALSE
2340	"2000-01-01 00:00:05.250"	0.0125	7.0412	0	FALSE
2340	"2000-01-01 00:00:05.375"	0.0116	7.041	0	FALSE
2470	"2000-01-01 00:00:05.500"	0.0122	7.0388	0	FALSE
2600	"2000-01-01 00:00:05.625"	0.0143	7.0383	0	FALSE
2730	"2000-01-01 00:00:05.750"	0.0138	7.0336	0	FALSE
2860	"2000-01-01 00:00:05.875"	0.0139	7.0277	0	FALSE
2990	"2000-01-01 00:00:06.000"	0.0126	7.024	0	FALSE
3120	"2000-01-01 00:00:06.125"	0.0123	7.0244	0	FALSE
3250	"2000-01-01 00:00:06.250"	0.0119	7.0245	0	FALSE
3380	"2000-01-01 00:00:06.375"	0.012	7.0252	0	FALSE
3510	"2000-01-01 00:00:06.500"	0.0131	7.0263	0	FALSE
3640	"2000-01-01 00:00:06.625"	0.0124	7.0255	0	FALSE
3770	"2000-01-01 00:00:06.750"	0.0132	7.0261	0	FALSE
3900	"2000-01-01 00:00:06.875"	0.0127	7.0267	0	FALSE
4030	"2000-01-01 00:00:07.000"	0.0118	7.0293	0	FALSE
4160	"2000-01-01 00:00:07.125"	0.0118	7.0337	0	FALSE
4290	"2000-01-01 00:00:07.250"	0.0069	7.0347	0	FALSE
4420	"2000-01-01 00:00:07.375"	0.0112	7.0364	0	FALSE
4550	"2000-01-01 00:00:07.500"	0.0127	7.0491	0	FALSE
4680	"2000-01-01 00:00:07.625"	0.0134	7.0744	0	FALSE
4810	"2000-01-01 00:00:07.750"	0.0138	7.0979	0	FALSE
4940	"2000-01-01 00:00:07.875"	0.0136	7.12	0	FALSE
5070	"2000-01-01 00:00:08.000"	0.0127	7.142	0	FALSE
5200	"2000-01-01 00:00:08.125"	0.0126	7.1666	0	FALSE
5330	"2000-01-01 00:00:08.250"	0.0118	7.1891	0	FALSE
5460	"2000-01-01 00:00:08.375"	0.0077	7.2097	0	FALSE
5590	"2000-01-01 00:00:08.500"	0.011	7.233	0	FALSE
5590	"2000-01-01 00:00:08.625"	0.0097	7.2505	0	FALSE
5720	"2000-01-01 00:00:08.750"	0.0113	7.2618	0	FALSE
5850	"2000-01-01 00:00:08.875"	0.0113	7.2775	0	FALSE
5980	"2000-01-01 00:00:09.000"	0.0147	7.288	0	FALSE
6110	"2000-01-01 00:00:09.125"	0.0127	7.3028	0	FALSE
6370	"2000-01-01 00:00:09.250"	0.013	7.3173	0	FALSE
6370	"2000-01-01 00:00:09.375"	0.012	7.3364	0	FALSE
6500	"2000-01-01 00:00:09.500"	0.0119	7.3465	0	FALSE
6630	"2000-01-01 00:00:09.625"	0.0096	7.3582	0	FALSE
6760	"2000-01-01 00:00:09.750"	0.0127	7.3632	0	FALSE
6890	"2000-01-01 00:00:09.875"	0.0119	7.3677	0	FALSE
7020	"2000-01-01 00:00:10.000"	0.01	7.366	0	FALSE
7150	"2000-01-01 00:00:10.125"	0.0111	7.3573	0	FALSE
7280	"2000-01-01 00:00:10.250"	0.0104	7.3521	0	FALSE
7410	"2000-01-01 00:00:10.375"	0.0101	7.3434	0	FALSE
7540	"2000-01-01 00:00:10.500"	0.0102	7.3314	0	FALSE
7670	"2000-01-01 00:00:10.625"	0.0123	7.3137	0	FALSE
7800	"2000-01-01 00:00:10.750"	0.0143	7.2952	0	FALSE
7930	"2000-01-01 00:00:10.875"	0.0126	7.2839	0	FALSE
8060	"2000-01-01 00:00:11.000"	0.0119	7.2739	0	FALSE
8190	"2000-01-01 00:00:11.125"	0.0078	7.262	0	FALSE
8320	"2000-01-01 00:00:11.250"	0.0055	7.2495	0	FALSE
8450	"2000-01-01 00:00:11.375"	0.0066	7.2424	0	FALSE
8580	"2000-01-01 00:00:11.500"	0.0133	7.2222	0	FALSE
8710	"2000-01-01 00:00:11.625"	0.016	7.2121	0	FALSE
8840	"2000-01-01 00:00:11.750"	0.0168	7.2038	0	FALSE
8970	"2000-01-01 00:00:11.875"	0.0141	7.1975	0	FALSE
9100	"2000-01-01 00:00:12.000"	0.0113	7.1847	0	FALSE
9100	"2000-01-01 00:00:12.125"	0.0121	7.1786	0	FALSE
9230	"2000-01-01 00:00:12.250"	0.0146	7.1673	0	FALSE
9360	"2000-01-01 00:00:12.375"	0.0124	7.16	0	FALSE
9490	"2000-01-01 00:00:12.500"	0.0129	7.1509	0	FALSE
9620	"2000-01-01 00:00:12.625"	0.0136	7.1448	0	FALSE
9750	"2000-01-01 00:00:12.750"	0.014	7.1406	0	FALSE
9880	"2000-01-01 00:00:12.875"	0.0156	7.1358	0	FALSE
10010	"2000-01-01 00:00:13.000"	0.0156	7.1347	0	FALSE
