"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:51.125"	0.274	12.9265	0.1315	FALSE
130	"2000-01-01 00:00:51.250"	0.2688	12.9251	0.1325	FALSE
260	"2000-01-01 00:00:51.375"	0.2637	12.927	0.1316	FALSE
390	"2000-01-01 00:00:51.500"	0.2597	12.9306	0.1318	FALSE
520	"2000-01-01 00:00:51.625"	0.2577	12.935	0.1316	FALSE
650	"2000-01-01 00:00:51.750"	0.2575	12.936	0.1318	FALSE
780	"2000-01-01 00:00:51.875"	0.2615	12.9362	0.1322	FALSE
910	"2000-01-01 00:00:52.000"	0.2668	12.9347	0.1317	FALSE
1040	"2000-01-01 00:00:52.125"	0.2742	12.9372	0.1319	FALSE
1170	"2000-01-01 00:00:52.250"	0.281	12.945	0.1324	FALSE
1300	"2000-01-01 00:00:52.375"	0.286	12.9427	0.1319	FALSE
1430	"2000-01-01 00:00:52.500"	0.287	12.943	0.1311	FALSE
1560	"2000-01-01 00:00:52.625"	0.2851	12.9474	0.1314	FALSE
1690	"2000-01-01 00:00:52.750"	0.2795	12.9469	0.1322	FALSE
1820	"2000-01-01 00:00:52.875"	0.2716	12.9508	0.132	FALSE
1950	"2000-01-01 00:00:53.000"	0.263	12.9503	0.132	FALSE
2080	"2000-01-01 00:00:53.125"	0.2553	12.9487	0.1314	FALSE
2210	"2000-01-01 00:00:53.250"	0.2515	12.9475	0.1313	FALSE
2340	"2000-01-01 00:00:53.375"	0.251	12.9474	0.1313	FALSE
2470	"2000-01-01 00:00:53.500"	0.2544	12.9445	0.1312	FALSE
2600	"2000-01-01 00:00:53.625"	0.2611	12.9422	0.132	FALSE
2730	"2000-01-01 00:00:53.750"	0.2691	12.9442	0.1311	FALSE
2860	"2000-01-01 00:00:53.875"	0.2763	12.9457	0.1319	FALSE
2990	"2000-01-01 00:00:54.000"	0.2814	12.9477	0.1321	FALSE
2990	"2000-01-01 00:00:54.125"	0.2819	12.9461	0.1317	FALSE
3250	"2000-01-01 00:00:54.250"	0.2804	12.9483	0.132	FALSE
3250	"2000-01-01 00:00:54.375"	0.2746	12.9474	0.1316	FALSE
3380	"2000-01-01 00:00:54.500"	0.2669	12.9467	0.132	FALSE
3510	"2000-01-01 00:00:54.625"	0.2588	12.9444	0.1309	FALSE
3640	"2000-01-01 00:00:54.750"	0.2519	12.9453	0.1314	FALSE
3770	"2000-01-01 00:00:54.875"	0.2456	12.948	0.1309	FALSE
3900	"2000-01-01 00:00:55.000"	0.2437	12.9479	0.1311	FALSE
4030	"2000-01-01 00:00:55.125"	0.2458	12.9469	0.1315	FALSE
4160	"2000-01-01 00:00:55.250"	0.2506	12.9439	0.1317	FALSE
4290	"2000-01-01 00:00:55.375"	0.2577	12.944	0.131	FALSE
4420	"2000-01-01 00:00:55.500"	0.2648	12.9468	0.132	FALSE
4550	"2000-01-01 00:00:55.625"	0.2725	12.9455	0.1313	FALSE
4680	"2000-01-01 00:00:55.750"	0.2781	12.94	0.1317	FALSE
4810	"2000-01-01 00:00:55.875"	0.2824	12.94	0.1329	FALSE
4940	"2000-01-01 00:00:56.000"	0.2837	12.9418	0.1315	FALSE
5070	"2000-01-01 00:00:56.125"	0.2818	12.9413	0.1314	FALSE
5200	"2000-01-01 00:00:56.250"	0.2783	12.9422	0.1317	FALSE
5330	"2000-01-01 00:00:56.375"	0.2723	12.9399	0.1316	FALSE
5460	"2000-01-01 00:00:56.500"	0.2648	12.941	0.1318	FALSE
5590	"2000-01-01 00:00:56.625"	0.2578	12.9433	0.1317	FALSE
5720	"2000-01-01 00:00:56.750"	0.252	12.9463	0.1319	FALSE
5850	"2000-01-01 00:00:56.875"	0.2478	12.9473	0.1316	FALSE
5980	"2000-01-01 00:00:57.000"	0.2468	12.9466	0.1318	FALSE
6110	"2000-01-01 00:00:57.125"	0.248	12.9476	0.1319	FALSE
6240	"2000-01-01 00:00:57.250"	0.2533	12.9502	0.1319	FALSE
6370	"2000-01-01 00:00:57.375"	0.2594	12.9484	0.1319	FALSE
6500	"2000-01-01 00:00:57.500"	0.2667	12.9472	0.1325	FALSE
6500	"2000-01-01 00:00:57.625"	0.2731	12.9435	0.1321	FALSE
6630	"2000-01-01 00:00:57.750"	0.2781	12.9481	0.1322	FALSE
6760	"2000-01-01 00:00:57.875"	0.2789	12.9489	0.1313	FALSE
6890	"2000-01-01 00:00:58.000"	0.278	12.9501	0.1318	FALSE
7020	"2000-01-01 00:00:58.125"	0.2739	12.9468	0.1323	FALSE
7150	"2000-01-01 00:00:58.250"	0.2691	12.9486	0.1323	FALSE
7280	"2000-01-01 00:00:58.375"	0.262	12.9461	0.1321	FALSE
7410	"2000-01-01 00:00:58.500"	0.2582	12.9447	0.1319	FALSE
7540	"2000-01-01 00:00:58.625"	0.254	12.944	0.1322	FALSE
7670	"2000-01-01 00:00:58.750"	0.2547	12.9437	0.1313	FALSE
7800	"2000-01-01 00:00:58.875"	0.2596	12.9445	0.1313	FALSE
7930	"2000-01-01 00:00:59.000"	0.2696	12.9426	0.132	FALSE
8060	"2000-01-01 00:00:59.125"	0.2815	12.9343	0.1324	FALSE
8190	"2000-01-01 00:00:59.250"	0.2906	12.9385	0.1321	FALSE
8320	"2000-01-01 00:00:59.375"	0.2963	12.9415	0.132	FALSE
8450	"2000-01-01 00:00:59.500"	0.2961	12.9423	0.1317	FALSE
8580	"2000-01-01 00:00:59.625"	0.2914	12.9411	0.1313	FALSE
8710	"2000-01-01 00:00:59.750"	0.283	12.942	0.1322	FALSE
8840	"2000-01-01 00:00:59.875"	0.2714	12.9406	0.1318	FALSE
8970	"2000-01-01 00:01:00.000"	0.2584	12.9397	0.1323	FALSE
9100	"2000-01-01 00:01:00.125"	0.249	12.9397	0.1325	TRUE
9230	"2000-01-01 00:01:00.250"	0.2427	12.9395	0.1313	TRUE
9360	"2000-01-01 00:01:00.375"	0.2423	12.9411	0.1319	TRUE
9490	"2000-01-01 00:01:00.500"	0.2482	12.9394	0.1325	TRUE
9620	"2000-01-01 00:01:00.625"	0.2577	12.9393	0.1321	TRUE
9620	"2000-01-01 00:01:00.750"	0.2709	12.9379	0.1316	TRUE
9750	"2000-01-01 00:01:00.875"	0.2845	12.9379	0.1319	TRUE
9880	"2000-01-01 00:01:01.000"	0.2957	12.9392	0.1317	TRUE
10010	"2000-01-01 00:01:01.125"	0.302	12.9403	0.132	TRUE
10140	"2000-01-01 00:01:01.250"	0.306	12.9423	0.1319	TRUE
10270	"2000-01-01 00:01:01.375"	0.3065	12.9399	0.131	TRUE
10400	"2000-01-01 00:01:01.500"	0.3043	12.9406	0.1316	TRUE
10530	"2000-01-01 00:01:01.625"	0.3009	12.939	0.1321	TRUE
10660	"2000-01-01 00:01:01.750"	0.2965	12.9402	0.1315	TRUE
10790	"2000-01-01 00:01:01.875"	0.2926	12.9381	0.1315	TRUE
10920	"2000-01-01 00:01:02.000"	0.2933	12.9344	0.1319	TRUE
11050	"2000-01-01 00:01:02.125"	0.2966	12.9333	0.1324	TRUE
11180	"2000-01-01 00:01:02.250"	0.3029	12.9349	0.1312	TRUE
11310	"2000-01-01 00:01:02.375"	0.3131	12.9337	0.1314	TRUE
11440	"2000-01-01 00:01:02.500"	0.3231	12.925	0.1321	TRUE
11570	"2000-01-01 00:01:02.625"	0.332	12.9288	0.1318	TRUE
11700	"2000-01-01 00:01:02.750"	0.3396	12.9308	0.1316	TRUE
11830	"2000-01-01 00:01:02.875"	0.3469	12.9363	0.1317	TRUE
11960	"2000-01-01 00:01:03.000"	0.3507	12.9351	0.1321	TRUE
12090	"2000-01-01 00:01:03.125"	0.3518	12.9358	0.1318	TRUE
12220	"2000-01-01 00:01:03.250"	0.349	12.9371	0.1321	TRUE
12350	"2000-01-01 00:01:03.375"	0.3465	12.9351	0.1308	TRUE
12480	"2000-01-01 00:01:03.500"	0.3435	12.9339	0.1323	TRUE
12610	"2000-01-01 00:01:03.625"	0.3406	12.9332	0.1326	TRUE
12740	"2000-01-01 00:01:03.750"	0.3422	12.9287	0.1319	TRUE
12740	"2000-01-01 00:01:03.875"	0.3448	12.928	0.1319	TRUE
12870	"2000-01-01 00:01:04.000"	0.3513	12.9312	0.1313	TRUE
13000	"2000-01-01 00:01:04.125"	0.3598	12.9298	0.1316	TRUE
13130	"2000-01-01 00:01:04.250"	0.3725	12.9276	0.1311	TRUE
