"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:02:25.375"	0.8718	14.682	0.1462	FALSE
130	"2000-01-01 00:02:25.500"	0.8569	14.683	0.1456	FALSE
260	"2000-01-01 00:02:25.625"	0.8516	14.6845	0.146	FALSE
390	"2000-01-01 00:02:25.750"	0.8463	14.6843	0.1462	FALSE
390	"2000-01-01 00:02:25.875"	0.8503	14.6839	0.1457	FALSE
520	"2000-01-01 00:02:26.000"	0.86	14.6862	0.1465	FALSE
650	"2000-01-01 00:02:26.125"	0.8766	14.6874	0.1462	FALSE
780	"2000-01-01 00:02:26.250"	0.8886	14.6869	0.1458	FALSE
910	"2000-01-01 00:02:26.375"	0.9138	14.6837	0.1461	FALSE
1040	"2000-01-01 00:02:26.500"	0.9336	14.6817	0.1456	FALSE
1170	"2000-01-01 00:02:26.625"	0.9574	14.6821	0.146	FALSE
1300	"2000-01-01 00:02:26.750"	0.982	14.6819	0.1457	FALSE
1430	"2000-01-01 00:02:26.875"	0.9905	14.6813	0.1452	FALSE
1560	"2000-01-01 00:02:27.000"	0.9929	14.6813	0.1461	FALSE
1690	"2000-01-01 00:02:27.125"	0.9945	14.68	0.1456	FALSE
1820	"2000-01-01 00:02:27.250"	0.9945	14.6814	0.146	FALSE
1950	"2000-01-01 00:02:27.375"	0.9904	14.6829	0.1458	FALSE
2080	"2000-01-01 00:02:27.500"	0.9892	14.6808	0.1457	FALSE
2210	"2000-01-01 00:02:27.625"	0.9825	14.683	0.1462	FALSE
2340	"2000-01-01 00:02:27.750"	0.9799	14.6813	0.1453	FALSE
2470	"2000-01-01 00:02:27.875"	0.9751	14.6836	0.1457	FALSE
2600	"2000-01-01 00:02:28.000"	0.9686	14.6818	0.1461	FALSE
2730	"2000-01-01 00:02:28.125"	0.9638	14.6826	0.1462	FALSE
2860	"2000-01-01 00:02:28.250"	0.9596	14.6821	0.1459	FALSE
2990	"2000-01-01 00:02:28.375"	0.9497	14.6839	0.1454	FALSE
3120	"2000-01-01 00:02:28.500"	0.9452	14.6826	0.1454	FALSE
3250	"2000-01-01 00:02:28.625"	0.9432	14.6842	0.1457	FALSE
3380	"2000-01-01 00:02:28.750"	0.9451	14.6854	0.1461	FALSE
3510	"2000-01-01 00:02:28.875"	0.9517	14.6857	0.1457	FALSE
3640	"2000-01-01 00:02:29.000"	0.9672	14.6858	0.1458	FALSE
3640	"2000-01-01 00:02:29.125"	0.9869	14.6848	0.1456	FALSE
3770	"2000-01-01 00:02:29.250"	1.0046	14.6853	0.1454	FALSE
3900	"2000-01-01 00:02:29.375"	1.0229	14.6861	0.146	FALSE
4030	"2000-01-01 00:02:29.500"	1.0239	14.6853	0.1459	FALSE
4160	"2000-01-01 00:02:29.625"	1.0262	14.6857	0.1455	TRUE
4290	"2000-01-01 00:02:29.750"	1.0266	14.686	0.146	TRUE
4420	"2000-01-01 00:02:29.875"	1.0248	14.6864	0.146	TRUE
4550	"2000-01-01 00:02:30.000"	1.012	14.6855	0.1457	TRUE
4680	"2000-01-01 00:02:30.125"	1.0003	14.6848	0.1462	TRUE
4810	"2000-01-01 00:02:30.250"	0.9794	14.684	0.1454	TRUE
4940	"2000-01-01 00:02:30.375"	0.9612	14.6839	0.1459	TRUE
5070	"2000-01-01 00:02:30.500"	0.946	14.686	0.1453	TRUE
5200	"2000-01-01 00:02:30.625"	0.9343	14.6833	0.1455	TRUE
5330	"2000-01-01 00:02:30.750"	0.9328	14.6848	0.1457	TRUE
5460	"2000-01-01 00:02:30.875"	0.9294	14.684	0.1461	TRUE
5590	"2000-01-01 00:02:31.000"	0.9298	14.6845	0.1459	TRUE
5720	"2000-01-01 00:02:31.125"	0.9274	14.6861	0.146	TRUE
5850	"2000-01-01 00:02:31.250"	0.9224	14.6853	0.1458	TRUE
5980	"2000-01-01 00:02:31.375"	0.9196	14.6867	0.1462	TRUE
6110	"2000-01-01 00:02:31.500"	0.9162	14.6852	0.1455	TRUE
6240	"2000-01-01 00:02:31.625"	0.9042	14.6866	0.146	TRUE
6370	"2000-01-01 00:02:31.750"	0.8929	14.6857	0.1459	TRUE
6500	"2000-01-01 00:02:31.875"	0.8721	14.6838	0.1456	TRUE
6630	"2000-01-01 00:02:32.000"	0.8542	14.6847	0.1455	TRUE
6760	"2000-01-01 00:02:32.125"	0.836	14.6838	0.1461	TRUE
6890	"2000-01-01 00:02:32.250"	0.8199	14.6863	0.1455	TRUE
6890	"2000-01-01 00:02:32.375"	0.8116	14.6853	0.1458	TRUE
7020	"2000-01-01 00:02:32.500"	0.8084	14.685	0.1465	TRUE
7150	"2000-01-01 00:02:32.625"	0.8058	14.6854	0.146	TRUE
7280	"2000-01-01 00:02:32.750"	0.803	14.6862	0.1455	TRUE
7410	"2000-01-01 00:02:32.875"	0.7991	14.6855	0.146	TRUE
7540	"2000-01-01 00:02:33.000"	0.7822	14.6842	0.1458	TRUE
7670	"2000-01-01 00:02:33.125"	0.7665	14.6852	0.1466	TRUE
7800	"2000-01-01 00:02:33.250"	0.743	14.6862	0.1454	TRUE
7930	"2000-01-01 00:02:33.375"	0.7115	14.6853	0.1462	TRUE
8060	"2000-01-01 00:02:33.500"	0.6813	14.6856	0.146	TRUE
8190	"2000-01-01 00:02:33.625"	0.6531	14.6853	0.146	TRUE
8320	"2000-01-01 00:02:33.750"	0.6303	14.685	0.1452	TRUE
8450	"2000-01-01 00:02:33.875"	0.6177	14.6837	0.146	TRUE
8580	"2000-01-01 00:02:34.000"	0.6235	14.6843	0.1458	TRUE
8710	"2000-01-01 00:02:34.125"	0.6415	14.685	0.146	TRUE
8840	"2000-01-01 00:02:34.250"	0.6637	14.6865	0.1455	TRUE
8970	"2000-01-01 00:02:34.375"	0.6804	14.6864	0.1454	TRUE
9100	"2000-01-01 00:02:34.500"	0.6991	14.6871	0.146	TRUE
9230	"2000-01-01 00:02:34.625"	0.706	14.6864	0.146	TRUE
9360	"2000-01-01 00:02:34.750"	0.7093	14.6874	0.1456	TRUE
9490	"2000-01-01 00:02:34.875"	0.6971	14.6875	0.1458	TRUE
9620	"2000-01-01 00:02:35.000"	0.6775	14.6871	0.146	TRUE
9750	"2000-01-01 00:02:35.125"	0.6411	14.6893	0.1456	TRUE
9880	"2000-01-01 00:02:35.250"	0.6091	14.689	0.1462	TRUE
10010	"2000-01-01 00:02:35.375"	0.5759	14.6878	0.1457	TRUE
10140	"2000-01-01 00:02:35.500"	0.5453	14.6884	0.1462	TRUE
10270	"2000-01-01 00:02:35.625"	0.5191	14.6883	0.146	TRUE
10270	"2000-01-01 00:02:35.750"	0.4978	14.6889	0.145	TRUE
10400	"2000-01-01 00:02:35.875"	0.4883	14.689	0.1458	TRUE
10530	"2000-01-01 00:02:36.000"	0.4887	14.6898	0.1459	TRUE
10660	"2000-01-01 00:02:36.125"	0.4929	14.6895	0.1452	TRUE
10790	"2000-01-01 00:02:36.250"	0.5004	14.69	0.1458	TRUE
