"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:31.125"	0.0049	18.3554	0.1695	FALSE
130	"2000-01-01 00:00:31.250"	0.0011	18.3555	0.1694	FALSE
260	"2000-01-01 00:00:31.375"	-0.0025	18.3556	0.1688	FALSE
390	"2000-01-01 00:00:31.500"	-5e-04	18.3541	0.1684	FALSE
520	"2000-01-01 00:00:31.625"	-0.0033	18.3515	0.1692	FALSE
650	"2000-01-01 00:00:31.750"	3e-04	18.3508	0.1688	FALSE
650	"2000-01-01 00:00:31.875"	0.0041	18.351	0.1691	FALSE
910	"2000-01-01 00:00:32.000"	0.0022	18.352	0.1687	FALSE
910	"2000-01-01 00:00:32.125"	-0.0086	18.3528	0.1687	FALSE
1040	"2000-01-01 00:00:32.250"	-0.005	18.3525	0.1687	FALSE
1170	"2000-01-01 00:00:32.375"	-0.0061	18.3515	0.1693	FALSE
1300	"2000-01-01 00:00:32.500"	0.0045	18.3518	0.1692	FALSE
1430	"2000-01-01 00:00:32.625"	0.0068	18.3499	0.1695	FALSE
1560	"2000-01-01 00:00:32.750"	-0.002	18.3509	0.1687	FALSE
1690	"2000-01-01 00:00:32.875"	-0.0057	18.3514	0.1689	FALSE
1820	"2000-01-01 00:00:33.000"	-0.0031	18.3513	0.1686	FALSE
1950	"2000-01-01 00:00:33.125"	0.0232	18.3503	0.1686	FALSE
2080	"2000-01-01 00:00:33.250"	0.0095	18.3512	0.1686	FALSE
2210	"2000-01-01 00:00:33.375"	-0.0058	18.35	0.1686	FALSE
2340	"2000-01-01 00:00:33.500"	-0.0033	18.3504	0.1688	FALSE
2470	"2000-01-01 00:00:33.625"	-0.0031	18.3502	0.1688	FALSE
2600	"2000-01-01 00:00:33.750"	-0.0028	18.3528	0.169	FALSE
2730	"2000-01-01 00:00:33.875"	0.0075	18.3546	0.1693	FALSE
2860	"2000-01-01 00:00:34.000"	0.0034	18.3556	0.1684	FALSE
2990	"2000-01-01 00:00:34.125"	-0.0066	18.3546	0.1689	FALSE
3120	"2000-01-01 00:00:34.250"	-0.0059	18.3502	0.1691	FALSE
3250	"2000-01-01 00:00:34.375"	0.0116	18.3535	0.1688	FALSE
3380	"2000-01-01 00:00:34.500"	0.0074	18.3551	0.1693	FALSE
3510	"2000-01-01 00:00:34.625"	-0.0027	18.3542	0.169	FALSE
3640	"2000-01-01 00:00:34.750"	-0.0061	18.3531	0.1688	FALSE
3770	"2000-01-01 00:00:34.875"	-0.008	18.353	0.1688	FALSE
3900	"2000-01-01 00:00:35.000"	-0.0052	18.3507	0.1696	FALSE
3900	"2000-01-01 00:00:35.125"	-0.0031	18.3505	0.1688	FALSE
4030	"2000-01-01 00:00:35.250"	-0.0021	18.3502	0.1689	FALSE
4160	"2000-01-01 00:00:35.375"	-0.0022	18.3501	0.1687	FALSE
4290	"2000-01-01 00:00:35.500"	-0.0023	18.3491	0.1689	FALSE
4420	"2000-01-01 00:00:35.625"	-0.0029	18.3488	0.1689	FALSE
4550	"2000-01-01 00:00:35.750"	-0.0027	18.3491	0.1686	FALSE
4680	"2000-01-01 00:00:35.875"	-0.0022	18.3512	0.1688	FALSE
4810	"2000-01-01 00:00:36.000"	0.0242	18.351	0.169	FALSE
4940	"2000-01-01 00:00:36.125"	0.0115	18.3542	0.1688	FALSE
5070	"2000-01-01 00:00:36.250"	0.0124	18.3551	0.1688	FALSE
5200	"2000-01-01 00:00:36.375"	0.0073	18.3543	0.1686	FALSE
5330	"2000-01-01 00:00:36.500"	0.0126	18.353	0.1684	FALSE
5460	"2000-01-01 00:00:36.625"	0.0266	18.352	0.1687	FALSE
5590	"2000-01-01 00:00:36.750"	0.0336	18.3527	0.1687	FALSE
5720	"2000-01-01 00:00:36.875"	0.0327	18.3545	0.169	FALSE
5850	"2000-01-01 00:00:37.000"	0.0255	18.3552	0.1689	FALSE
5980	"2000-01-01 00:00:37.125"	0.0106	18.3537	0.1688	FALSE
6110	"2000-01-01 00:00:37.250"	-0.0044	18.3516	0.169	FALSE
6240	"2000-01-01 00:00:37.375"	0.004	18.3515	0.1688	FALSE
6370	"2000-01-01 00:00:37.500"	-0.0026	18.3516	0.169	FALSE
6500	"2000-01-01 00:00:37.625"	-0.0053	18.351	0.1693	FALSE
6630	"2000-01-01 00:00:37.750"	-4e-04	18.3494	0.1686	FALSE
6760	"2000-01-01 00:00:37.875"	-0.0051	18.3471	0.169	FALSE
6890	"2000-01-01 00:00:38.000"	-0.007	18.3473	0.1685	TRUE
7020	"2000-01-01 00:00:38.125"	0.0026	18.3492	0.169	TRUE
7150	"2000-01-01 00:00:38.250"	0.0141	18.3497	0.1689	TRUE
7150	"2000-01-01 00:00:38.375"	0.0242	18.3485	0.1694	TRUE
7280	"2000-01-01 00:00:38.500"	0.0281	18.3482	0.169	TRUE
7410	"2000-01-01 00:00:38.625"	0.0226	18.3482	0.1688	TRUE
7540	"2000-01-01 00:00:38.750"	0.0169	18.3496	0.169	TRUE
7670	"2000-01-01 00:00:38.875"	0.0179	18.3483	0.1688	TRUE
7800	"2000-01-01 00:00:39.000"	0.0274	18.3486	0.169	TRUE
7930	"2000-01-01 00:00:39.125"	0.0302	18.3492	0.169	TRUE
8060	"2000-01-01 00:00:39.250"	0.028	18.349	0.1685	TRUE
8190	"2000-01-01 00:00:39.375"	0.0239	18.3469	0.169	TRUE
8320	"2000-01-01 00:00:39.500"	0.0246	18.3474	0.1689	TRUE
8450	"2000-01-01 00:00:39.625"	0.0303	18.3457	0.1693	TRUE
8580	"2000-01-01 00:00:39.750"	0.0397	18.3449	0.1689	TRUE
8710	"2000-01-01 00:00:39.875"	0.0492	18.3457	0.1689	TRUE
8840	"2000-01-01 00:00:40.000"	0.0564	18.3461	0.1689	TRUE
