"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:03.000"	0.2236	10.2802	0.1603	FALSE
130	"2000-01-01 00:00:03.125"	0.2248	10.2811	0.1602	FALSE
260	"2000-01-01 00:00:03.250"	0.2214	10.2817	0.1603	FALSE
390	"2000-01-01 00:00:03.375"	0.214	10.2814	0.1609	FALSE
520	"2000-01-01 00:00:03.500"	0.2052	10.2818	0.161	FALSE
650	"2000-01-01 00:00:03.625"	0.1939	10.2825	0.1597	FALSE
780	"2000-01-01 00:00:03.750"	0.1818	10.2847	0.1603	FALSE
910	"2000-01-01 00:00:03.875"	0.1718	10.2862	0.1608	FALSE
1040	"2000-01-01 00:00:04.000"	0.1673	10.2867	0.1604	FALSE
1170	"2000-01-01 00:00:04.125"	0.1726	10.2869	0.1601	FALSE
1300	"2000-01-01 00:00:04.250"	0.1855	10.2859	0.16	FALSE
1430	"2000-01-01 00:00:04.375"	0.2049	10.2862	0.1605	FALSE
1560	"2000-01-01 00:00:04.500"	0.2184	10.2854	0.1607	FALSE
1690	"2000-01-01 00:00:04.625"	0.2259	10.2866	0.1602	FALSE
1820	"2000-01-01 00:00:04.750"	0.2286	10.2856	0.1599	FALSE
1950	"2000-01-01 00:00:04.875"	0.224	10.2837	0.1601	FALSE
2080	"2000-01-01 00:00:05.000"	0.2113	10.2866	0.1599	FALSE
2210	"2000-01-01 00:00:05.125"	0.1946	10.2847	0.1601	FALSE
2340	"2000-01-01 00:00:05.250"	0.1776	10.2841	0.1607	FALSE
2470	"2000-01-01 00:00:05.375"	0.1655	10.2851	0.1609	FALSE
2470	"2000-01-01 00:00:05.500"	0.1645	10.2848	0.1607	FALSE
2600	"2000-01-01 00:00:05.625"	0.1772	10.2847	0.1601	FALSE
2730	"2000-01-01 00:00:05.750"	0.1959	10.2846	0.1604	FALSE
2860	"2000-01-01 00:00:05.875"	0.2094	10.2848	0.1605	FALSE
2990	"2000-01-01 00:00:06.000"	0.2166	10.2846	0.1605	FALSE
3120	"2000-01-01 00:00:06.125"	0.2183	10.2842	0.1599	FALSE
3250	"2000-01-01 00:00:06.250"	0.2141	10.2849	0.1605	FALSE
3380	"2000-01-01 00:00:06.375"	0.2043	10.2839	0.1597	FALSE
3510	"2000-01-01 00:00:06.500"	0.1917	10.2852	0.1603	FALSE
3640	"2000-01-01 00:00:06.625"	0.1831	10.2841	0.1605	FALSE
3770	"2000-01-01 00:00:06.750"	0.1793	10.2854	0.1608	FALSE
3900	"2000-01-01 00:00:06.875"	0.1821	10.2863	0.16	FALSE
4030	"2000-01-01 00:00:07.000"	0.1889	10.2857	0.1606	FALSE
4160	"2000-01-01 00:00:07.125"	0.1956	10.2857	0.1601	FALSE
4290	"2000-01-01 00:00:07.250"	0.204	10.2851	0.1601	FALSE
4420	"2000-01-01 00:00:07.375"	0.2092	10.2851	0.1609	FALSE
4550	"2000-01-01 00:00:07.500"	0.2107	10.2846	0.1606	FALSE
4680	"2000-01-01 00:00:07.625"	0.2086	10.2852	0.1603	FALSE
4810	"2000-01-01 00:00:07.750"	0.2069	10.2842	0.1609	FALSE
4940	"2000-01-01 00:00:07.875"	0.2045	10.2858	0.1599	FALSE
5070	"2000-01-01 00:00:08.000"	0.2078	10.2859	0.16	FALSE
5200	"2000-01-01 00:00:08.125"	0.2098	10.2858	0.1597	FALSE
5330	"2000-01-01 00:00:08.250"	0.2092	10.2851	0.1606	FALSE
5460	"2000-01-01 00:00:08.375"	0.2036	10.2853	0.1608	FALSE
5590	"2000-01-01 00:00:08.500"	0.195	10.2852	0.1607	FALSE
5720	"2000-01-01 00:00:08.625"	0.1823	10.2841	0.16	FALSE
5720	"2000-01-01 00:00:08.750"	0.1707	10.2851	0.1601	FALSE
5850	"2000-01-01 00:00:08.875"	0.1606	10.2844	0.1612	FALSE
5980	"2000-01-01 00:00:09.000"	0.1634	10.2847	0.1606	FALSE
6110	"2000-01-01 00:00:09.125"	0.1765	10.2847	0.16	FALSE
6370	"2000-01-01 00:00:09.250"	0.1906	10.2839	0.1598	FALSE
6370	"2000-01-01 00:00:09.375"	0.2127	10.2843	0.1609	FALSE
6500	"2000-01-01 00:00:09.500"	0.224	10.2849	0.16	FALSE
6630	"2000-01-01 00:00:09.625"	0.2311	10.285	0.1601	FALSE
6760	"2000-01-01 00:00:09.750"	0.2291	10.2838	0.1602	FALSE
6890	"2000-01-01 00:00:09.875"	0.2214	10.2852	0.16	FALSE
7020	"2000-01-01 00:00:10.000"	0.2071	10.285	0.1601	FALSE
7150	"2000-01-01 00:00:10.125"	0.1946	10.2838	0.1603	FALSE
7280	"2000-01-01 00:00:10.250"	0.1851	10.2855	0.1597	FALSE
7410	"2000-01-01 00:00:10.375"	0.179	10.2846	0.1604	FALSE
7540	"2000-01-01 00:00:10.500"	0.175	10.2847	0.1602	FALSE
7670	"2000-01-01 00:00:10.625"	0.1716	10.2845	0.1603	FALSE
7800	"2000-01-01 00:00:10.750"	0.1779	10.2845	0.16	FALSE
7930	"2000-01-01 00:00:10.875"	0.1902	10.2841	0.16	FALSE
8060	"2000-01-01 00:00:11.000"	0.2056	10.2852	0.1605	FALSE
8190	"2000-01-01 00:00:11.125"	0.2196	10.2847	0.1603	FALSE
8320	"2000-01-01 00:00:11.250"	0.2288	10.2854	0.1603	FALSE
8450	"2000-01-01 00:00:11.375"	0.2336	10.2854	0.1601	FALSE
8580	"2000-01-01 00:00:11.500"	0.2304	10.2847	0.1604	FALSE
8710	"2000-01-01 00:00:11.625"	0.2211	10.2863	0.1602	FALSE
8840	"2000-01-01 00:00:11.750"	0.2105	10.2851	0.1602	FALSE
8970	"2000-01-01 00:00:11.875"	0.1986	10.2854	0.1607	FALSE
9100	"2000-01-01 00:00:12.000"	0.1841	10.2862	0.1597	FALSE
9230	"2000-01-01 00:00:12.125"	0.1763	10.2854	0.1603	FALSE
9230	"2000-01-01 00:00:12.250"	0.1735	10.2852	0.1601	FALSE
9360	"2000-01-01 00:00:12.375"	0.1752	10.285	0.1606	FALSE
9490	"2000-01-01 00:00:12.500"	0.1815	10.2855	0.1602	FALSE
9620	"2000-01-01 00:00:12.625"	0.1872	10.285	0.1605	FALSE
9750	"2000-01-01 00:00:12.750"	0.1926	10.2852	0.1609	FALSE
9880	"2000-01-01 00:00:12.875"	0.1969	10.2849	0.1608	FALSE
10010	"2000-01-01 00:00:13.000"	0.2016	10.2852	0.16	FALSE
10140	"2000-01-01 00:00:13.125"	0.2086	10.2865	0.1605	FALSE
10270	"2000-01-01 00:00:13.250"	0.2091	10.2853	0.16	FALSE
10400	"2000-01-01 00:00:13.375"	0.2103	10.2851	0.16	FALSE
10530	"2000-01-01 00:00:13.500"	0.208	10.2846	0.1601	FALSE
10660	"2000-01-01 00:00:13.625"	0.2072	10.2849	0.161	FALSE
10790	"2000-01-01 00:00:13.750"	0.2058	10.2854	0.1606	FALSE
10920	"2000-01-01 00:00:13.875"	0.2034	10.2858	0.1605	FALSE
11050	"2000-01-01 00:00:14.000"	0.1966	10.2846	0.1604	FALSE
11180	"2000-01-01 00:00:14.125"	0.1903	10.2854	0.1605	FALSE
11310	"2000-01-01 00:00:14.250"	0.1859	10.2857	0.1604	FALSE
11440	"2000-01-01 00:00:14.375"	0.1841	10.2854	0.1607	FALSE
11570	"2000-01-01 00:00:14.500"	0.1817	10.2843	0.161	FALSE
11700	"2000-01-01 00:00:14.625"	0.1806	10.2847	0.1611	FALSE
11830	"2000-01-01 00:00:14.750"	0.1752	10.2854	0.16	FALSE
11960	"2000-01-01 00:00:14.875"	0.1691	10.285	0.1604	FALSE
12090	"2000-01-01 00:00:15.000"	0.1697	10.2851	0.1605	FALSE
12220	"2000-01-01 00:00:15.125"	0.1746	10.2852	0.1597	FALSE
12350	"2000-01-01 00:00:15.250"	0.1855	10.2847	0.1602	FALSE
12480	"2000-01-01 00:00:15.375"	0.2053	10.2867	0.1605	FALSE
12480	"2000-01-01 00:00:15.500"	0.2228	10.2851	0.16	FALSE
12610	"2000-01-01 00:00:15.625"	0.2392	10.2855	0.1601	FALSE
12740	"2000-01-01 00:00:15.750"	0.2472	10.2851	0.16	FALSE
12870	"2000-01-01 00:00:15.875"	0.2403	10.2848	0.1602	FALSE
13000	"2000-01-01 00:00:16.000"	0.223	10.2853	0.1605	FALSE
13130	"2000-01-01 00:00:16.125"	0.1962	10.2857	0.1604	FALSE
13260	"2000-01-01 00:00:16.250"	0.1645	10.2857	0.1593	FALSE
13390	"2000-01-01 00:00:16.375"	0.1336	10.2853	0.1604	FALSE
13520	"2000-01-01 00:00:16.500"	0.1158	10.2864	0.1597	FALSE
13650	"2000-01-01 00:00:16.625"	0.1113	10.2855	0.16	FALSE
13780	"2000-01-01 00:00:16.750"	0.133	10.2858	0.1605	FALSE
13910	"2000-01-01 00:00:16.875"	0.1667	10.2843	0.1603	FALSE
14040	"2000-01-01 00:00:17.000"	0.2005	10.2851	0.1603	FALSE
14170	"2000-01-01 00:00:17.125"	0.2277	10.2854	0.1603	FALSE
14300	"2000-01-01 00:00:17.250"	0.2508	10.2842	0.1599	FALSE
14430	"2000-01-01 00:00:17.375"	0.2593	10.2856	0.1609	FALSE
14560	"2000-01-01 00:00:17.500"	0.2556	10.2853	0.16	FALSE
14690	"2000-01-01 00:00:17.625"	0.2398	10.285	0.1616	FALSE
14820	"2000-01-01 00:00:17.750"	0.2179	10.285	0.1598	FALSE
14950	"2000-01-01 00:00:17.875"	0.1956	10.285	0.161	FALSE
