"Time_ms"	"DateTime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:03.000"	0.0764	6.7359	0	FALSE
130	"2000-01-01 00:00:03.125"	0.0768	6.7322	0	FALSE
260	"2000-01-01 00:00:03.250"	0.0745	6.7278	0	FALSE
390	"2000-01-01 00:00:03.375"	0.0772	6.7229	0	FALSE
520	"2000-01-01 00:00:03.500"	0.0771	6.7221	0	FALSE
650	"2000-01-01 00:00:03.625"	0.0759	6.7189	0	FALSE
780	"2000-01-01 00:00:03.750"	0.0753	6.7176	0	FALSE
910	"2000-01-01 00:00:03.875"	0.0764	6.7151	0	FALSE
1040	"2000-01-01 00:00:04.000"	0.0754	6.7175	0	FALSE
1170	"2000-01-01 00:00:04.125"	0.0771	6.7209	0	FALSE
1300	"2000-01-01 00:00:04.250"	0.0755	6.7217	0	FALSE
1430	"2000-01-01 00:00:04.375"	0.0785	6.7156	0	FALSE
1560	"2000-01-01 00:00:04.500"	0.0766	6.7109	0	FALSE
1690	"2000-01-01 00:00:04.625"	0.0749	6.7086	0	FALSE
1820	"2000-01-01 00:00:04.750"	0.075	6.7076	0	FALSE
1950	"2000-01-01 00:00:04.875"	0.0759	6.7027	0	FALSE
2080	"2000-01-01 00:00:05.000"	0.0739	6.6956	0	FALSE
2210	"2000-01-01 00:00:05.125"	0.0736	6.6886	0	FALSE
2340	"2000-01-01 00:00:05.250"	0.0733	6.6872	0	FALSE
2470	"2000-01-01 00:00:05.375"	0.0743	6.6813	0	FALSE
2600	"2000-01-01 00:00:05.500"	0.0748	6.6699	0	FALSE
2600	"2000-01-01 00:00:05.625"	0.074	6.6612	0	FALSE
2730	"2000-01-01 00:00:05.750"	0.0774	6.6515	0	FALSE
2860	"2000-01-01 00:00:05.875"	0.0758	6.6444	0	FALSE
2990	"2000-01-01 00:00:06.000"	0.0773	6.6376	0	FALSE
3120	"2000-01-01 00:00:06.125"	0.0725	6.6331	0	FALSE
3250	"2000-01-01 00:00:06.250"	0.07	6.6304	0	FALSE
3380	"2000-01-01 00:00:06.375"	0.0719	6.6306	0	FALSE
3510	"2000-01-01 00:00:06.500"	0.0707	6.6312	0	FALSE
3640	"2000-01-01 00:00:06.625"	0.0746	6.6311	0	FALSE
3770	"2000-01-01 00:00:06.750"	0.0753	6.625	0	FALSE
3900	"2000-01-01 00:00:06.875"	0.0751	6.6219	0	FALSE
4030	"2000-01-01 00:00:07.000"	0.0752	6.618	0	FALSE
4160	"2000-01-01 00:00:07.125"	0.0746	6.6145	0	FALSE
4290	"2000-01-01 00:00:07.250"	0.0757	6.6137	0	FALSE
4420	"2000-01-01 00:00:07.375"	0.0755	6.6115	0	FALSE
4550	"2000-01-01 00:00:07.500"	0.0747	6.6098	0	FALSE
4680	"2000-01-01 00:00:07.625"	0.075	6.604	0	FALSE
4810	"2000-01-01 00:00:07.750"	0.0754	6.5979	0	FALSE
4940	"2000-01-01 00:00:07.875"	0.0743	6.5931	0	FALSE
5070	"2000-01-01 00:00:08.000"	0.0764	6.5889	0	FALSE
5200	"2000-01-01 00:00:08.125"	0.0769	6.5849	0	FALSE
5330	"2000-01-01 00:00:08.250"	0.0775	6.5848	0	FALSE
5460	"2000-01-01 00:00:08.375"	0.0751	6.5858	0	FALSE
5590	"2000-01-01 00:00:08.500"	0.0755	6.5904	0	FALSE
5720	"2000-01-01 00:00:08.625"	0.0737	6.5903	0	FALSE
5850	"2000-01-01 00:00:08.750"	0.0738	6.5865	0	FALSE
5850	"2000-01-01 00:00:08.875"	0.0738	6.5803	0	FALSE
5980	"2000-01-01 00:00:09.000"	0.0736	6.5763	0	FALSE
