"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:00:03.000"	0.0331	14.956	0	FALSE
130	"2000-01-01 00:00:03.125"	0.0336	14.9561	0	FALSE
260	"2000-01-01 00:00:03.250"	0.0347	14.9612	0	FALSE
390	"2000-01-01 00:00:03.375"	0.0354	14.9644	0	FALSE
520	"2000-01-01 00:00:03.500"	0.0343	14.9646	0	FALSE
650	"2000-01-01 00:00:03.625"	0.0333	14.9651	0	FALSE
780	"2000-01-01 00:00:03.750"	0.0337	14.9671	0	FALSE
910	"2000-01-01 00:00:03.875"	0.0342	14.9675	0	FALSE
1040	"2000-01-01 00:00:04.000"	0.0359	14.9654	0	FALSE
1170	"2000-01-01 00:00:04.125"	0.0353	14.9694	0	FALSE
1300	"2000-01-01 00:00:04.250"	0.0355	14.9709	0	FALSE
1430	"2000-01-01 00:00:04.375"	0.0376	14.9869	0.0078	FALSE
1560	"2000-01-01 00:00:04.500"	0.0351	14.9891	0	FALSE
1690	"2000-01-01 00:00:04.625"	0.0304	14.9828	0	FALSE
1820	"2000-01-01 00:00:04.750"	0.0281	14.9775	0	FALSE
1950	"2000-01-01 00:00:04.875"	0.0322	14.9754	0	FALSE
2080	"2000-01-01 00:00:05.000"	0.034	14.9788	0	FALSE
2210	"2000-01-01 00:00:05.125"	0.0348	14.9798	0	FALSE
2340	"2000-01-01 00:00:05.250"	0.0357	14.9753	0	FALSE
2340	"2000-01-01 00:00:05.375"	0.0361	14.9682	0	FALSE
2470	"2000-01-01 00:00:05.500"	0.0359	14.9623	0	FALSE
2600	"2000-01-01 00:00:05.625"	0.0362	14.9604	0	FALSE
2730	"2000-01-01 00:00:05.750"	0.0356	14.9617	0	FALSE
2860	"2000-01-01 00:00:05.875"	0.0351	14.9617	0	FALSE
2990	"2000-01-01 00:00:06.000"	0.0356	14.9578	0	FALSE
3120	"2000-01-01 00:00:06.125"	0.0354	14.9542	0	FALSE
3250	"2000-01-01 00:00:06.250"	0.0357	14.9514	0	FALSE
3380	"2000-01-01 00:00:06.375"	0.0359	14.9459	0	FALSE
3510	"2000-01-01 00:00:06.500"	0.0366	14.9383	0	FALSE
3640	"2000-01-01 00:00:06.625"	0.0357	14.9335	0	FALSE
3770	"2000-01-01 00:00:06.750"	0.0349	14.9325	0	FALSE
3900	"2000-01-01 00:00:06.875"	0.0353	14.9425	0	FALSE
4030	"2000-01-01 00:00:07.000"	0.0368	14.9506	0	FALSE
4160	"2000-01-01 00:00:07.125"	0.0368	14.9556	0	FALSE
4290	"2000-01-01 00:00:07.250"	0.0365	14.9587	0	FALSE
4420	"2000-01-01 00:00:07.375"	0.0365	14.962	0	FALSE
4550	"2000-01-01 00:00:07.500"	0.0372	14.9654	0	FALSE
4680	"2000-01-01 00:00:07.625"	0.0374	14.969	0	FALSE
4810	"2000-01-01 00:00:07.750"	0.0383	14.9723	0	FALSE
4940	"2000-01-01 00:00:07.875"	0.0379	14.9788	0	FALSE
5070	"2000-01-01 00:00:08.000"	0.0377	14.989	0	FALSE
5200	"2000-01-01 00:00:08.125"	0.0371	14.9966	0	FALSE
5330	"2000-01-01 00:00:08.250"	0.0367	15.0026	0	FALSE
5460	"2000-01-01 00:00:08.375"	0.0365	15.0046	0	FALSE
5590	"2000-01-01 00:00:08.500"	0.0367	15.0117	0	FALSE
5590	"2000-01-01 00:00:08.625"	0.0356	15.0239	0	FALSE
5720	"2000-01-01 00:00:08.750"	0.0362	15.0376	0	FALSE
5850	"2000-01-01 00:00:08.875"	0.0371	15.046	0	FALSE
5980	"2000-01-01 00:00:09.000"	0.0376	15.0498	0	FALSE
6110	"2000-01-01 00:00:09.125"	0.0365	15.051	0	FALSE
6370	"2000-01-01 00:00:09.250"	0.0356	15.0455	0	FALSE
6370	"2000-01-01 00:00:09.375"	0.0361	15.0528	0	FALSE
6500	"2000-01-01 00:00:09.500"	0.0366	15.0651	0	FALSE
6630	"2000-01-01 00:00:09.625"	0.0385	15.0721	0	FALSE
6760	"2000-01-01 00:00:09.750"	0.0391	15.0646	0	FALSE
6890	"2000-01-01 00:00:09.875"	0.0374	15.0557	0	FALSE
7020	"2000-01-01 00:00:10.000"	0.0372	15.0512	0	FALSE
7150	"2000-01-01 00:00:10.125"	0.0375	15.0463	0	FALSE
7280	"2000-01-01 00:00:10.250"	0.0348	15.0386	0	FALSE
7410	"2000-01-01 00:00:10.375"	0.0346	15.0292	0	FALSE
7540	"2000-01-01 00:00:10.500"	0.0347	15.0235	0	FALSE
7670	"2000-01-01 00:00:10.625"	0.0361	15.026	0	FALSE
7800	"2000-01-01 00:00:10.750"	0.0379	15.0291	0	FALSE
7930	"2000-01-01 00:00:10.875"	0.0395	15.0304	0	FALSE
8060	"2000-01-01 00:00:11.000"	0.0398	15.0277	0	FALSE
8190	"2000-01-01 00:00:11.125"	0.0385	15.0269	0	FALSE
8320	"2000-01-01 00:00:11.250"	0.0383	15.026	0	FALSE
