"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:01:50.500"	1.6641	12.4471	12.2359	FALSE
130	"2000-01-01 00:01:50.625"	1.6756	12.1233	13.9373	FALSE
260	"2000-01-01 00:01:50.750"	1.6922	11.5492	15.2692	FALSE
390	"2000-01-01 00:01:50.875"	1.6993	11.4625	14.4489	FALSE
520	"2000-01-01 00:01:51.000"	1.691	11.2814	13.785	FALSE
650	"2000-01-01 00:01:51.125"	1.676	11.4692	10.643	FALSE
780	"2000-01-01 00:01:51.250"	1.6576	12.6073	7.3819	FALSE
910	"2000-01-01 00:01:51.375"	1.6343	13.3838	6.3422	FALSE
1040	"2000-01-01 00:01:51.500"	1.6182	13.7633	5.4432	FALSE
1170	"2000-01-01 00:01:51.625"	1.6071	14.029	5.6498	FALSE
1300	"2000-01-01 00:01:51.750"	1.6083	14.0282	6.0088	FALSE
1430	"2000-01-01 00:01:51.875"	1.6215	13.9093	5.6789	FALSE
1560	"2000-01-01 00:01:52.000"	1.647	13.7455	5.4871	FALSE
1690	"2000-01-01 00:01:52.125"	1.6769	13.3293	7.0106	FALSE
1820	"2000-01-01 00:01:52.250"	1.7203	12.6644	12.115	FALSE
1950	"2000-01-01 00:01:52.375"	1.751	11.0778	19.1152	FALSE
2080	"2000-01-01 00:01:52.500"	1.7805	10.1633	21.4449	FALSE
2210	"2000-01-01 00:01:52.625"	1.8099	9.7912	21.9081	FALSE
2340	"2000-01-01 00:01:52.750"	1.8318	9.3956	22.1107	FALSE
2470	"2000-01-01 00:01:52.875"	1.8565	8.2833	22.9234	FALSE
2600	"2000-01-01 00:01:53.000"	1.868	7.7116	23.4026	FALSE
2730	"2000-01-01 00:01:53.125"	1.8686	7.5868	23.3776	FALSE
2730	"2000-01-01 00:01:53.250"	1.8626	7.5728	23.2041	FALSE
2860	"2000-01-01 00:01:53.375"	1.841	7.4216	23.6449	FALSE
2990	"2000-01-01 00:01:53.500"	1.8086	7.134	24.883	FALSE
3120	"2000-01-01 00:01:53.625"	1.757	7.6505	25.0281	FALSE
3250	"2000-01-01 00:01:53.750"	1.6936	8.3517	22.6208	FALSE
3380	"2000-01-01 00:01:53.875"	1.6274	10.0514	16.3972	FALSE
3510	"2000-01-01 00:01:54.000"	1.5686	12.2381	11.1584	FALSE
3640	"2000-01-01 00:01:54.125"	1.5277	12.9916	10.7264	FALSE
3770	"2000-01-01 00:01:54.250"	1.5081	13.823	11.6166	FALSE
3900	"2000-01-01 00:01:54.375"	1.5141	13.8676	9.4593	FALSE
4030	"2000-01-01 00:01:54.500"	1.5404	11.922	12.8004	FALSE
4160	"2000-01-01 00:01:54.625"	1.5765	10.8933	11.7316	FALSE
4290	"2000-01-01 00:01:54.750"	1.6135	11.0952	16.5397	FALSE
4420	"2000-01-01 00:01:54.875"	1.6575	11.1251	17.3702	FALSE
4550	"2000-01-01 00:01:55.000"	1.7145	10.3791	21.3727	FALSE
4680	"2000-01-01 00:01:55.125"	1.76	10.0091	21.8787	FALSE
4810	"2000-01-01 00:01:55.250"	1.8086	8.9042	23.7034	FALSE
4940	"2000-01-01 00:01:55.375"	1.8533	8.6037	24.2634	FALSE
5070	"2000-01-01 00:01:55.500"	1.8856	8.7477	22.892	FALSE
5200	"2000-01-01 00:01:55.625"	1.9018	9.8852	19.776	TRUE
5330	"2000-01-01 00:01:55.750"	1.8973	9.9089	19.2602	TRUE
5460	"2000-01-01 00:01:55.875"	1.8744	8.2054	22.0291	TRUE
5590	"2000-01-01 00:01:56.000"	1.8468	8.7371	21.9641	TRUE
5720	"2000-01-01 00:01:56.125"	1.8116	7.8053	24.0708	TRUE
6240	"2000-01-01 00:01:56.750"	1.592	11.914	8.4668	TRUE
6370	"2000-01-01 00:01:56.875"	1.5536	12.6143	8.1601	TRUE
6500	"2000-01-01 00:01:57.000"	1.5324	12.4929	9.3335	TRUE
6630	"2000-01-01 00:01:57.125"	1.5264	13.0365	10.2934	TRUE
6760	"2000-01-01 00:01:57.250"	1.5346	13.5793	12.9659	TRUE
6890	"2000-01-01 00:01:57.375"	1.5619	13.2562	10.7969	TRUE
7020	"2000-01-01 00:01:57.500"	1.5961	13.1597	9.8205	TRUE
7150	"2000-01-01 00:01:57.625"	1.6408	13.0126	9.692	TRUE
7280	"2000-01-01 00:01:57.750"	1.6983	11.9581	16.17	TRUE
7410	"2000-01-01 00:01:57.875"	1.7526	10.2158	21.2254	TRUE
7540	"2000-01-01 00:01:58.000"	1.8017	8.5059	24.0413	TRUE
7670	"2000-01-01 00:01:58.125"	1.8364	8.0594	24.6947	TRUE
7800	"2000-01-01 00:01:58.250"	1.8479	7.6522	23.9708	TRUE
7930	"2000-01-01 00:01:58.375"	1.8375	7.6414	23.0514	TRUE
8060	"2000-01-01 00:01:58.500"	1.8107	7.7981	22.9511	TRUE
8190	"2000-01-01 00:01:58.625"	1.7791	9.5579	18.1251	TRUE
8320	"2000-01-01 00:01:58.750"	1.7316	9.0959	12.8605	TRUE
8450	"2000-01-01 00:01:58.875"	1.6792	11.4675	10.11	TRUE
8580	"2000-01-01 00:01:59.000"	1.628	11.4638	7.1368	TRUE
8710	"2000-01-01 00:01:59.125"	1.5808	12.0797	7.4966	TRUE
8840	"2000-01-01 00:01:59.250"	1.5443	12.6461	7.9345	TRUE
8970	"2000-01-01 00:01:59.375"	1.5163	13.0194	8.0592	TRUE
9100	"2000-01-01 00:01:59.500"	1.4949	12.8463	9.2207	TRUE
9230	"2000-01-01 00:01:59.625"	1.4798	11.8451	10.228	TRUE
