"Time_ms"	"datetime"	"Pres_dbar"	"Temp"	"Sal"	"flag"
0	"2000-01-01 00:01:07.625"	-0.0407	14.0393	0.0293	FALSE
130	"2000-01-01 00:01:07.750"	-0.04	14.0198	0.0275	FALSE
130	"2000-01-01 00:01:07.875"	-0.0402	14.004	0.026	FALSE
260	"2000-01-01 00:01:08.000"	-0.0417	13.987	0.0273	FALSE
390	"2000-01-01 00:01:08.125"	-0.0411	13.965	0.0243	FALSE
520	"2000-01-01 00:01:08.250"	-0.0412	13.9334	0.0224	FALSE
650	"2000-01-01 00:01:08.375"	-0.0412	13.9122	0.0212	FALSE
780	"2000-01-01 00:01:08.500"	-0.0424	13.8925	0.0198	FALSE
910	"2000-01-01 00:01:08.625"	-0.0341	14.0277	2.5862	FALSE
1040	"2000-01-01 00:01:08.750"	-0.0303	14.1147	2.5981	FALSE
1170	"2000-01-01 00:01:08.875"	-0.0446	14.1247	2.5879	FALSE
1300	"2000-01-01 00:01:09.000"	-0.0406	14.1267	2.4007	FALSE
1430	"2000-01-01 00:01:09.125"	-0.0394	14.1277	0.1077	FALSE
1560	"2000-01-01 00:01:09.250"	-0.038	14.121	0.0508	FALSE
1690	"2000-01-01 00:01:09.375"	-0.0386	14.1087	0.0388	FALSE
1820	"2000-01-01 00:01:09.500"	-0.0383	14.0964	0.0329	FALSE
1950	"2000-01-01 00:01:09.625"	-0.0372	14.0791	0.0306	FALSE
2080	"2000-01-01 00:01:09.750"	-0.0371	14.0659	0.0283	FALSE
2210	"2000-01-01 00:01:09.875"	-0.0388	14.0541	0.0265	FALSE
2340	"2000-01-01 00:01:10.000"	-0.0385	14.0422	0.0246	FALSE
2470	"2000-01-01 00:01:10.125"	-0.0394	14.0291	0.0226	FALSE
2600	"2000-01-01 00:01:10.250"	-0.0385	14.0154	0.022	FALSE
2730	"2000-01-01 00:01:10.375"	-0.0399	13.9994	0.0233	FALSE
2860	"2000-01-01 00:01:10.500"	-0.0394	13.9859	0.0228	FALSE
2990	"2000-01-01 00:01:10.625"	-0.0401	14.0607	1.0162	FALSE
3120	"2000-01-01 00:01:10.750"	-0.0412	14.1144	0.1645	FALSE
3250	"2000-01-01 00:01:10.875"	-0.0408	14.1226	0.0726	FALSE
3250	"2000-01-01 00:01:11.000"	-0.0397	14.1259	0.0402	FALSE
3380	"2000-01-01 00:01:11.125"	-0.0396	14.1141	0.0358	FALSE
3510	"2000-01-01 00:01:11.250"	-0.0405	14.1021	0.0296	FALSE
3640	"2000-01-01 00:01:11.375"	-0.0393	14.0866	0.0269	FALSE
3770	"2000-01-01 00:01:11.500"	-0.0392	14.0697	0.0255	FALSE
3900	"2000-01-01 00:01:11.625"	-0.0377	14.0556	0.0241	FALSE
4030	"2000-01-01 00:01:11.750"	-0.0373	14.0445	0.0231	FALSE
4160	"2000-01-01 00:01:11.875"	-0.0381	14.034	0.0222	FALSE
4290	"2000-01-01 00:01:12.000"	-0.0389	14.0253	0.0202	FALSE
4420	"2000-01-01 00:01:12.125"	-0.0388	14.0178	0.0192	FALSE
4550	"2000-01-01 00:01:12.250"	-0.0381	14.0094	0.0184	FALSE
4680	"2000-01-01 00:01:12.375"	-0.0378	14.0021	0.017	FALSE
4810	"2000-01-01 00:01:12.500"	-0.0373	13.9937	0.0163	FALSE
4940	"2000-01-01 00:01:12.625"	-0.0383	13.983	0.0146	FALSE
5070	"2000-01-01 00:01:12.750"	-0.0397	13.9696	0.0139	FALSE
5200	"2000-01-01 00:01:12.875"	-0.037	13.9568	0.0131	FALSE
5330	"2000-01-01 00:01:13.000"	-0.0378	13.9382	0.0134	FALSE
5460	"2000-01-01 00:01:13.125"	-0.0373	13.9199	0.0129	FALSE
5590	"2000-01-01 00:01:13.250"	-0.0378	13.9064	0.0122	FALSE
5720	"2000-01-01 00:01:13.375"	-0.0378	13.89	0.0115	FALSE
5850	"2000-01-01 00:01:13.500"	-0.0378	13.8769	0.0111	FALSE
5980	"2000-01-01 00:01:13.625"	-0.0371	13.8664	0.0108	FALSE
6110	"2000-01-01 00:01:13.750"	-0.0378	13.8555	0.0106	FALSE
6240	"2000-01-01 00:01:13.875"	-0.0381	13.8457	0.0101	FALSE
6370	"2000-01-01 00:01:14.000"	-0.0378	13.8371	0.01	FALSE
6500	"2000-01-01 00:01:14.125"	-0.0377	13.8284	0.0095	FALSE
6500	"2000-01-01 00:01:14.250"	-0.0381	13.8185	0.0093	FALSE
6630	"2000-01-01 00:01:14.375"	-0.0387	13.8089	0.0087	FALSE
6760	"2000-01-01 00:01:14.500"	-0.0384	13.7994	0	FALSE
6890	"2000-01-01 00:01:14.625"	-0.0383	13.789	0.0071	FALSE
