filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-1_st01_I20190423_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.10;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st0a_I20190420_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st0b_I20190420_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d04.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d05.csv;1;loess;0.10;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d06.csv;1;loess;0.10;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d07.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.085;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d04.csv;1;loess;0.07;-0.5;0.5;0.10;0.20;1
Nunataryuk_WP4-1_st140-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv;5;spline;0.20;-0.5;0.5;-0.05;0.20;0
Nunataryuk_WP4-1_st150-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv;5;spline;0.20;-0.5;0.5;-0.05;0.20;0
Nunataryuk_WP4-1_st340-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv;5;spline;0.20;-0.5;0.5;-0.05;0.20;0
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;-0.5;0.5;-0.05;0.05;0
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.07;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d03.csv;3;loess;0.07;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d04.csv;1;loess;0.075;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d05.csv;3;loess;0.07;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d06.csv;3;loess;0.07;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d07.csv;3;loess;0.07;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d08.csv;3;loess;0.07;-0.5;0.5;-0.05;0.05;1
Nunataryuk_WP4-1_st360_I20190424_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;-0.5;0.5;-0.05;0.20;0
Nunataryuk_WP4-1_st370-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st370-alt_I20190424_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
