"Profile_ID";"filename";"station_name";"lat_dec_deg";"lon_dec_deg";"date_heure_UTC";"date_heure_MDT";"flag_qc";"EC_Press_dbar_val";"tare_depth";"comment";"closest_EC_sector"
1;"Nunataryuk_WP4-1_st01_I20190423_R20200109_BECU_IOP-CTD-d01.csv";"st01";68.31891;-133.6775;"2019-04-23 19:48:00";"2019-04-23 13:48:00";1;99.61;-0.0669492377154359;"station to get sediment cores";"INUVIK CLIMATE"
2;"Nunataryuk_WP4-1_st0a_I20190420_R20200109_BECU_IOP-CTD-d01.csv";"st0a";68.50483;-134.14796;"2019-04-20 15:34:00";"2019-04-20 09:34:00";1;99.78;-0.0569222005469925;"test station";"INUVIK CLIMATE"
3;"Nunataryuk_WP4-1_st0b_I20190420_R20200109_BECU_IOP-CTD-d01.csv";"st0b";68.31903;-133.67819;"2019-04-20 20:49:00";"2019-04-20 14:49:00";1;99.79;-0.056332374831201;"test station";"INUVIK CLIMATE"
4;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d01.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
5;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d02.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
6;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d03.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
7;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d04.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
8;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d05.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
9;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d06.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
10;"Nunataryuk_WP4-1_st020_I20190427_R20200109_BECU_IOP-CTD-d07.csv";"st020";69.41603;-133.51918;"2019-04-27 20:28:00";"2019-04-27 14:28:00";1;103.23;0.146567671400827;NA;"TUKTOYAKTUK A"
11;"Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d01.csv";"st040";69.36243;-133.73932;"2019-04-28 20:30:00";"2019-04-28 14:30:00";1;103.38;0.155415057137688;NA;"TUKTOYAKTUK A"
12;"Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d02.csv";"st040";69.36243;-133.73932;"2019-04-28 20:30:00";"2019-04-28 14:30:00";1;103.38;0.155415057137688;NA;"TUKTOYAKTUK A"
13;"Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d03.csv";"st040";69.36243;-133.73932;"2019-04-28 20:30:00";"2019-04-28 14:30:00";1;103.38;0.155415057137688;NA;"TUKTOYAKTUK A"
14;"Nunataryuk_WP4-1_st040_I20190428_R20200109_BECU_IOP-CTD-d04.csv";"st040";69.36243;-133.73932;"2019-04-28 20:30:00";"2019-04-28 14:30:00";1;103.38;0.155415057137688;NA;"TUKTOYAKTUK A"
15;"Nunataryuk_WP4-1_st140-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv";"st140-alt";69.02065;-137.3236;"2019-04-24 22:42:00";"2019-04-24 16:42:00";0;102.51;0.104100219863891;"bad data (sensors stuck in ice)";"SHINGLE POINT A"
16;"Nunataryuk_WP4-1_st150-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv";"st150-alt";68.98647;-137.03941;"2019-04-24 19:52:00";"2019-04-24 13:52:00";0;102.43;0.099381614137565;"bad data (sensors stuck in ice)";"SHINGLE POINT A"
17;"Nunataryuk_WP4-1_st340-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv";"st340-alt";69.15123;-136.85516;"2019-04-24 21:05:00";"2019-04-24 15:05:00";0;102.46;0.101151091284937;"bad data (sensors stuck in ice)";"SHINGLE POINT A"
18;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d01.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";0;102.16;0.083456319811213;NA;"SHINGLE POINT A"
19;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d02.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
20;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d03.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
21;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d04.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
22;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d05.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
23;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d06.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
24;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d07.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
25;"Nunataryuk_WP4-1_st350_I20190425_R20200109_BECU_IOP-CTD-d08.csv";"st350";69.11024;-136.79085;"2019-04-25 23:05:00";"2019-04-25 17:05:00";1;102.16;0.083456319811213;NA;"SHINGLE POINT A"
26;"Nunataryuk_WP4-1_st360_I20190424_R20200109_BECU_IOP-CTD-d01.csv";"st360";68.99724;-136.47992;"2019-04-24 18:14:00";"2019-04-24 12:14:00";0;102.34;0.0940731826954471;"bad data (sensors stuck in ice)";"SHINGLE POINT A"
27;"Nunataryuk_WP4-1_st370-alt_I20190424_R20200109_BECU_IOP-CTD-d01.csv";"st370-alt";68.9531;-136.25413;"2019-04-24 16:10:00";"2019-04-24 10:10:00";1;102.25;0.0887647512533301;NA;"SHINGLE POINT A"
28;"Nunataryuk_WP4-1_st370-alt_I20190424_R20200109_BECU_IOP-CTD-d02.csv";"st370-alt";68.9531;-136.25413;"2019-04-24 16:10:00";"2019-04-24 10:10:00";1;102.25;0.0887647512533301;NA;"SHINGLE POINT A"
29;"Nunataryuk_WP4-1_st370-alt_I20190424_R20200109_BECU_IOP-CTD-d03.csv";"st370-alt";68.9531;-136.25413;"2019-04-24 16:10:00";"2019-04-24 10:10:00";1;102.25;0.0887647512533301;NA;"SHINGLE POINT A"
30;"Nunataryuk_WP4-1_st380-alt-b_I20190426_R20200109_BECU_IOP-CTD-d01.csv";"st380-alt-b";68.8652;-135.80671;"2019-04-25 23:45:00";"2019-04-25 17:45:00";0;102.18;0.0846359712427942;"second visit of station, cste depth at 0.7 and 1,0 m";"SHINGLE POINT A"
31;"Nunataryuk_WP4-1_st380-alt_I20190422_R20200109_BECU_IOP-CTD-d01.csv";"st380-alt";68.86526;-135.80715;"2019-04-22 22:50:00";"2019-04-22 16:50:00";1;100.03;-0.0421765576522226;NA;"SHINGLE POINT A"
32;"Nunataryuk_WP4-1_st380-alt_I20190422_R20200109_BECU_IOP-CTD-d02.csv";"st380-alt";68.86526;-135.80715;"2019-04-22 22:50:00";"2019-04-22 16:50:00";1;100.03;-0.0421765576522226;NA;"SHINGLE POINT A"
33;"Nunataryuk_WP4-1_st380-alt_I20190422_R20200109_BECU_IOP-CTD-d03.csv";"st380-alt";68.86526;-135.80715;"2019-04-22 22:50:00";"2019-04-22 16:50:00";1;100.03;-0.0421765576522226;NA;"SHINGLE POINT A"
34;"Nunataryuk_WP4-1_st550_I20190422_R20200109_BECU_IOP-CTD-d01.csv";"st550";69.22586;-136.32785;"2019-04-22 19:27:00";"2019-04-22 13:27:00";1;100.08;-0.0392274290732688;NA;"SHINGLE POINT A"
35;"Nunataryuk_WP4-1_st550_I20190422_R20200109_BECU_IOP-CTD-d02.csv";"st550";69.22586;-136.32785;"2019-04-22 19:27:00";"2019-04-22 13:27:00";1;100.08;-0.0392274290732688;NA;"SHINGLE POINT A"
36;"Nunataryuk_WP4-1_st740_I20190428_R20200109_BECU_IOP-CTD-d01.csv";"st740";69.40317;-133.85073;"2019-04-28 19:29:00";"2019-04-28 13:29:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
