filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;comment;closest_EC_sector;EC_Press_dbar_val;tare_depth
Nunataryuk_WP4-1_STN01_I20190423_R20200109_BECU_IOP-CTD.csv;STN01;1_STN01;68.31891;-133.6775;2019-04-23 19:48;1;station to get sediment cores;INUVIK CLIMATE;99.61;-0.0669492377154359
Nunataryuk_WP4-1_STN0a_I20190420_R20200109_BECU_IOP-CTD.csv;STN0a;1_STN0a;68.50483;-134.14796;2019-04-20 15:34;1;test station;INUVIK CLIMATE;99.78;-0.0569222005469925
Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv;STN0b;1_STN0b;68.31903;-133.67819;2019-04-20 20:49;1;test station;INUVIK CLIMATE;99.79;-0.056332374831201
Nunataryuk_WP4-1_STN020_I20190427_R20200109_BECU_IOP-CTD.csv;STN020;1_STN020;69.41603;-133.51918;2019-04-27 20:28;1;NA;TUKTOYAKTUK A;103.23;0.146567671400827
Nunataryuk_WP4-1_STN040_I20190428_R20200109_BECU_IOP-CTD.csv;STN040;1_STN040;69.36243;-133.73932;2019-04-28 20:30;1;NA;TUKTOYAKTUK A;103.38;0.155415057137688
Nunataryuk_WP4-1_STN140alt_I20190424_R20200109_BECU_IOP-CTD.csv;STN140alt;1_STN140alt;69.02065;-137.3236;2019-04-24 22:42;0;bad data (sensors stuck in ice);SHINGLE POINT A;102.51;0.104100219863891
Nunataryuk_WP4-1_STN150alt_I20190424_R20200109_BECU_IOP-CTD.csv;STN150alt;1_STN150alt;68.98647;-137.03941;2019-04-24 19:52;0;bad data (sensors stuck in ice);SHINGLE POINT A;102.43;0.099381614137565
Nunataryuk_WP4-1_STN340alt_I20190424_R20200109_BECU_IOP-CTD.csv;STN340alt;1_STN340alt;69.15123;-136.85516;2019-04-24 21:05;0;bad data (sensors stuck in ice);SHINGLE POINT A;102.46;0.101151091284937
Nunataryuk_WP4-1_STN350_I20190425_R20200109_BECU_IOP-CTD.csv;STN350;1_STN350;69.11024;-136.79085;2019-04-25 23:05;1;NA;SHINGLE POINT A;102.16;0.083456319811213
Nunataryuk_WP4-1_STN360_I20190424_R20200109_BECU_IOP-CTD.csv;STN360;1_STN360;68.99724;-136.47992;2019-04-24 18:14;0;NA;SHINGLE POINT A;102.34;0.0940731826954471
Nunataryuk_WP4-1_STN370alt_I20190424_R20200109_BECU_IOP-CTD.csv;STN370alt;1_STN370alt;68.9531;-136.25413;2019-04-24 16:10;1;NA;SHINGLE POINT A;102.25;0.0887647512533301
Nunataryuk_WP4-1_STN380alt_I20190425_R20200109_BECU_IOP-CTD.csv;STN380alt;1_STN380alt;68.8652;-135.80671;2019-04-25 23:45;0;second visit of station, cste depth at 0.7 and 1,0 m;SHINGLE POINT A;102.18;0.0846359712427942
Nunataryuk_WP4-1_STN380alt_I20190422_R20200109_BECU_IOP-CTD.csv;STN380alt;1_STN380alt;68.86526;-135.80715;2019-04-22 22:50;1;NA;SHINGLE POINT A;100.03;-0.0421765576522226
Nunataryuk_WP4-1_STN550_I20190422_R20200109_BECU_IOP-CTD.csv;STN550;1_STN550;69.22586;-136.32785;2019-04-22 19:27;1;NA;SHINGLE POINT A;100.08;-0.0392274290732688
Nunataryuk_WP4-1_STN740_I20190428_R20200109_BECU_IOP-CTD.csv;STN740;1_STN740;69.40317;-133.85073;2019-04-28 19:29;1;NA;TUKTOYAKTUK A;103.39;0.156004882853479
Nunataryuk_WP4-1_STN810_I20190427_R20200109_BECU_IOP-CTD.csv;STN810;1_STN810;69.53498;-133.41547;2019-04-27 22:25;1;NA;TUKTOYAKTUK A;103.24;0.147157497116618
Nunataryuk_WP4-1_STN830_I20190427_R20200109_BECU_IOP-CTD.csv;STN830;1_STN830;69.43212;-133.65637;2019-04-27 17:26;1;NA;TUKTOYAKTUK A;103.2;0.144798194253454
Nunataryuk_WP4-1_STN840_I20190428_R20200109_BECU_IOP-CTD.csv;STN840;1_STN840;69.39828;-133.80961;2019-04-28 18:30;1;NA;TUKTOYAKTUK A;103.39;0.156004882853479
Nunataryuk_WP4-1_STN850_I20190425_R20200109_BECU_IOP-CTD.csv;STN850;1_STN850;69.36778;-133.89382;2019-04-25 20:31;1;NA;TUKTOYAKTUK A;102.85;0.124154294200777
