"filename [NA]","station [NA]","cruise_station [NA]","latitude [decimal degree]","longitude [decimal degree]","utc_date_time [yyyy-mm-dd hh:mm]","flag_qc","comment [NA]","depth [m]","temperature [C]","temperature_sdev [C]","temperature_surface_handheldmeter [C]","salinity [NA]","salinity_sdev [NA]","salinity_surface_handheldmeter [NA]"
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.01,-0.0829714468923745,NA,NA,0.126049959248848,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.02,-0.0797269530006716,NA,NA,0.125812016159881,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.03,-0.0766156150998078,NA,NA,0.125550533411433,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.04,-0.0736393897641247,NA,NA,0.125265233538332,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.05,-0.0708004809316418,NA,NA,0.124955764512505,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.06,-0.0681416302632604,NA,NA,0.124609444720353,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.07,-0.0656743979642965,NA,NA,0.124222613186836,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.08,-0.0633717712260611,NA,NA,0.123803155365258,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.09,-0.061206737239865,NA,NA,0.123358956708924,NA,0.01
"Nunataryuk_WP4-1_STN0b_I20190420_R20200109_BECU_IOP-CTD.csv","STN0b","1_STN0b",68.31903,-133.67819,"2019-04-20 20:49",1,"test station",0.1,-0.0591522831970191,NA,NA,0.12289790267114,NA,0.01
