"filename [NA]","station [NA]","cruise_station [NA]","latitude [decimal degree]","longitude [decimal degree]","utc_date_time [yyyy-mm-dd hh:mm]","flag_qc","comment [NA]","depth [m]","temperature [C]","temperature_sdev [C]","temperature_surface_handheldmeter [C]","salinity [NA]","salinity_sdev [NA]","salinity_surface_handheldmeter [NA]"
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.07,7.64561321186507,NA,NA,1.06241449812784,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.08,7.64573149003955,NA,NA,1.06263525047126,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.09,7.64582649344544,NA,NA,1.06287248003937,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.1,7.64589809164368,NA,NA,1.06312631840531,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.11,7.64594275473047,NA,NA,1.06339549285234,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.12,7.64596133770253,NA,NA,1.0636807033996,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.13,7.64595921116546,NA,NA,1.06398458595881,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.14,7.64594174572485,NA,NA,1.06430977644168,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.15,7.64589926969531,NA,NA,1.06465206727523,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.16,7.64582730968353,NA,NA,1.06500839168011,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.17,7.64573196587414,NA,NA,1.06540108162839,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.18,7.64561746853581,NA,NA,1.06582405593512,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.19,7.64557809033184,NA,NA,1.06629546876939,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.2,7.64561481406803,NA,NA,1.06677528290241,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.21,7.64577670248729,NA,NA,1.06725295558062,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.22,7.64596904939224,NA,NA,1.06765880532215,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.23,7.64609226906791,NA,NA,1.06792006186438,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.24,7.6460467757993,NA,NA,1.06796395494469,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.25,7.6457329838714,NA,NA,1.06771771430043,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.26,7.64512250511208,NA,NA,1.067082606133,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.27,7.64420909303349,NA,NA,1.06658830042332,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.28,7.64297540116359,NA,NA,1.06627661824302,NA,NA
"Nunataryuk_WP4-4_STN140alt2_I20190829_R20200109_BECU_IOP-CTD.csv","STN140alt_2","4_STN140alt_2",69.01881,-137.32701,"2019-08-29 21:50",1,NA,0.29,7.64135337641719,NA,NA,1.06644797416006,NA,NA
