"filename [NA]","station [NA]","cruise_station [NA]","latitude [decimal degree]","longitude [decimal degree]","utc_date_time [yyyy-mm-dd hh:mm]","flag_qc","comment [NA]","depth [m]","temperature [C]","temperature_sdev [C]","temperature_surface_handheldmeter [C]","salinity [NA]","salinity_sdev [NA]","salinity_surface_handheldmeter [NA]"
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.1,8.09521916869898,NA,NA,0.186867584569312,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.11,8.09581456008552,NA,NA,0.186857800987196,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.12,8.09636396239812,NA,NA,0.186848881397227,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.13,8.09686748057343,NA,NA,0.186840830421081,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.14,8.09732521954806,NA,NA,0.186833652680435,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.15,8.09773728425864,NA,NA,0.186827352796964,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.16,8.09810377964181,NA,NA,0.186821935392346,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.17,8.09842481063419,NA,NA,0.186817405088257,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.18,8.0986852828164,NA,NA,0.186814461243805,NA,NA
"Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv","STN150alt","4_STN150alt",68.98512,-137.0368,"2019-08-30 16:25",1,NA,0.19,8.09887698420757,NA,NA,0.186813490298302,NA,NA
