"filename [NA]","station [NA]","cruise_station [NA]","latitude [decimal degree]","longitude [decimal degree]","utc_date_time [yyyy-mm-dd hh:mm]","flag_qc","comment [NA]","depth [m]","temperature [C]","temperature_sdev [C]","temperature_surface_handheldmeter [C]","salinity [NA]","salinity_sdev [NA]","salinity_surface_handheldmeter [NA]"
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.08,7.01381746433878,NA,NA,4.55363007403697,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.09,7.01329969520168,NA,NA,4.55412748899074,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.1,7.01393207360593,NA,NA,4.55444979377766,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.11,7.01536198025435,NA,NA,4.55468846941921,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.12,7.01580551720473,NA,NA,4.55609047904754,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.13,7.01506965286953,NA,NA,4.55823543823668,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.14,7.01559734842126,NA,NA,4.56172393703316,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.15,7.0145924864254,NA,NA,4.57783807714558,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.16,7.0146295002254,NA,NA,4.59973741344479,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.17,7.0131511696063,NA,NA,4.5900774894352,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.18,7.01415451006299,NA,NA,4.58685562602927,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.19,7.01349037115146,NA,NA,4.60271154346669,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.2,7.0131918225831,NA,NA,4.61226988875644,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.21,7.01155044221652,NA,NA,4.62659730314054,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.22,7.00870360000677,NA,NA,4.64226676751772,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.23,7.0066487876125,NA,NA,4.6531991971201,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.24,7.00645728942599,NA,NA,4.65692993330796,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.25,7.00722231615638,NA,NA,4.65771406568812,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.26,7.00813743921459,NA,NA,4.65716864443376,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.27,7.00668051921412,NA,NA,4.65678564264868,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.28,7.00474443692628,NA,NA,4.65728702919073,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.29,7.0031896658009,NA,NA,4.65934543313694,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.3,7.00302181624414,NA,NA,4.66305351601689,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.31,7.00254281153804,NA,NA,4.66752519265278,NA,NA
"Nunataryuk_WP4-4_STNShingleTest_I20190828_R20200109_BECU_IOP-CTD.csv","STNShingleTest","4_STNShingleTest",69,-137.33333,"2019-08-28 18:00",1,"lat/lon not logged, set close to Shingle Point - also, set time = 12local",0.32,7.00184428550316,NA,NA,4.67260178104932,NA,NA
